,Kierunek wiatru,Możliwość opadów śniegu,Opad atmosferyczny,Podmuchy wiatru,Pogoda,Prędkość wiatru,Siła wiatru,Temperatura,Widoczność,Wilgotność,Zachmurzenie,Time
0,NW,0%,0 mm,34.2Km/h,Częściowe zachmurzenie,20.9Km/h,305°,"2,2°  C",10 Km,75%,19%,2020-01-01 00:00:00
1,WNW,0%,0 mm,32.5Km/h,Częściowe zachmurzenie,19.9Km/h,303°,"1,9°  C",10 Km,77%,17%,2020-01-01 01:00:00
2,WNW,0%,0 mm,30.8Km/h,Częściowe zachmurzenie,19Km/h,302°,"1,7°  C",10 Km,78%,15%,2020-01-01 02:00:00
3,WNW,0%,0 mm,29.2Km/h,Częściowe zachmurzenie,18Km/h,300°,"1,4°  C",10 Km,79%,12%,2020-01-01 03:00:00
4,WNW,0%,0 mm,27.4Km/h,Częściowe zachmurzenie,16.8Km/h,297°,"1,1°  C",10 Km,81%,11%,2020-01-01 04:00:00
5,WNW,0%,0 mm,25.6Km/h,Częściowe zachmurzenie,15.6Km/h,294°,"0,8°  C",10 Km,82%,10%,2020-01-01 05:00:00
6,WNW,0%,0 mm,23.8Km/h,Częściowe zachmurzenie,14.4Km/h,291°,"0,5°  C",10 Km,84%,9%,2020-01-01 06:00:00
7,WNW,0%,0 mm,22.9Km/h,Częściowe zachmurzenie,14.4Km/h,286°,"0,6°  C",10 Km,84%,14%,2020-01-01 07:00:00
8,W,0%,0 mm,22.1Km/h,Częściowe zachmurzenie,14.4Km/h,280°,"0,6°  C",10 Km,84%,18%,2020-01-01 08:00:00
9,W,0%,0 mm,21.2Km/h,Częściowe zachmurzenie,14.4Km/h,275°,"0,7°  C",10 Km,84%,22%,2020-01-01 09:00:00
10,W,0%,0 mm,21.8Km/h,Częściowe zachmurzenie,15.2Km/h,275°,"0,9°  C",10 Km,84%,40%,2020-01-01 10:00:00
11,W,0%,0 mm,22.4Km/h,Częściowe zachmurzenie,16.1Km/h,275°,"1,2°  C",10 Km,83%,58%,2020-01-01 11:00:00
12,W,0%,0 mm,23Km/h,Częściowe zachmurzenie,16.9Km/h,275°,"1,4°  C",10 Km,83%,76%,2020-01-01 12:00:00
13,W,0%,0 mm,23.4Km/h,Częściowe zachmurzenie,17.2Km/h,276°,"1,4°  C",10 Km,84%,84%,2020-01-01 13:00:00
14,W,0%,0 mm,23.8Km/h,Pochmurno,17.4Km/h,277°,"1,4°  C",10 Km,84%,92%,2020-01-01 14:00:00
15,W,0%,0 mm,24.1Km/h,Pochmurno,17.6Km/h,278°,"1,4°  C",10 Km,85%,100%,2020-01-01 15:00:00
16,W,0%,0 mm,24.1Km/h,Pochmurno,17.4Km/h,277°,"0,5°  C",10 Km,84%,97%,2020-01-01 16:00:00
17,W,0%,0 mm,24.1Km/h,Pochmurno,17.2Km/h,275°,(-0.5)°  C,10 Km,84%,95%,2020-01-01 17:00:00
18,W,0%,0 mm,24.1Km/h,Pochmurno,16.9Km/h,274°,(-1.4)°  C,10 Km,84%,92%,2020-01-01 18:00:00
19,W,0%,0 mm,24.6Km/h,Pochmurno,17.2Km/h,272°,(-3.2)°  C,10 Km,85%,93%,2020-01-01 19:00:00
20,W,0%,0 mm,25.1Km/h,Pochmurno,17.4Km/h,269°,(-4.9)°  C,10 Km,85%,94%,2020-01-01 20:00:00
21,W,0%,0 mm,25.6Km/h,Pochmurno,17.6Km/h,267°,(-6.7)°  C,10 Km,86%,95%,2020-01-01 21:00:00
22,W,0%,0 mm,24.8Km/h,Pochmurno,17Km/h,268°,(-4.9)°  C,10 Km,86%,82%,2020-01-01 22:00:00
23,W,0%,0 mm,24.1Km/h,Zachmurzenie,16.4Km/h,270°,(-3)°  C,10 Km,86%,69%,2020-01-01 23:00:00
24,E,0%,0 mm,5.4Km/h,Częściowe zachmurzenie,3.6Km/h,80°,"2,3°  C",10 Km,88%,3%,2021-01-01 00:00:00
25,ENE,0%,0 mm,6.1Km/h,Częściowe zachmurzenie,4Km/h,78°,"2,1°  C",10 Km,89%,4%,2021-01-01 01:00:00
26,ENE,0%,0 mm,6.8Km/h,Częściowe zachmurzenie,4.3Km/h,76°,"1,8°  C",10 Km,89%,4%,2021-01-01 02:00:00
