TIME,VALUE
2018-01-01,34.05
2018-01-02,32.5
2018-01-03,32.58
2018-01-04,32.21
2018-01-05,32.28
2018-01-06,32.36
2018-01-07,32.28
2018-01-08,31.83
2018-01-09,32.47
2018-01-10,32.91
2018-01-11,32.58
2018-01-12,32.71
2018-01-13,32.73
2018-01-14,32.67
2018-01-15,32.45
2018-01-16,33.6
2018-01-17,34.1
2018-01-18,35.35
2018-01-19,36.56
2018-01-20,35.34
2018-01-21,35.75
2018-01-22,36.46
2018-01-23,37.53
2018-01-24,39.3
2018-01-25,38.3
2018-01-26,37.64
2018-01-27,38.41
2018-01-28,38.12
2018-01-29,37.24
2018-01-30,36.78
2018-01-31,38.41
2018-02-01,38.44
2018-02-02,37.22
2018-02-03,38.02
2018-02-04,37.89
2018-02-05,37.7
2018-02-06,36.52
2018-02-07,37.37
2018-02-08,38.01
2018-02-09,38.76
2018-02-10,38.05
2018-02-11,38.27
2018-02-12,39.61
2018-02-13,41.3
2018-02-14,40.03
2018-02-15,39.59
2018-02-16,39.55
2018-02-17,39.72
2018-02-18,39.62
2018-02-19,40.92
2018-02-20,40.29
2018-02-21,39.71
2018-02-22,40.59
2018-02-23,40.89
2018-02-24,40.4
2018-02-25,40.63
2018-02-26,40.12
2018-02-27,42.29
2018-02-28,42.16
2018-03-01,41.77
2018-03-02,42.52
2018-03-03,42.15
2018-03-04,42.15
2018-03-05,43.34
2018-03-06,43.83
2018-03-07,44.55
2018-03-08,46.64
2018-03-09,46.63
2018-03-10,45.94
2018-03-11,46.4
2018-03-12,46.45
2018-03-13,47.94
2018-03-14,47.08
2018-03-15,47.14
2018-03-16,47.05
2018-03-17,47.09
2018-03-18,47.09
2018-03-19,46.62
2018-03-20,48.74
2018-03-21,53.6
2018-03-22,52.1
2018-03-23,53.27
2018-03-24,52.99
2018-03-25,52.79
2018-03-26,54.87
2018-03-27,57.61
2018-03-28,54.66
2018-03-29,55.84
2018-03-30,56.04
2018-03-31,55.51
2018-04-01,55.8
2018-04-02,55.85
2018-04-03,55.93
2018-04-04,54.86
2018-04-05,53.16
2018-04-06,54.48
2018-04-07,54.17
2018-04-08,53.94
2018-04-09,55.9
2018-04-10,56.11
2018-04-11,56.24
2018-04-12,56.87
2018-04-13,58.15
2018-04-14,57.09
2018-04-15,57.37
2018-04-16,58.21
2018-04-17,57.08
2018-04-18,57.8
2018-04-19,56.0
2018-04-20,54.36
2018-04-21,56.05
2018-04-22,55.47
2018-04-23,53.82
2018-04-24,55.44
2018-04-25,55.83
2018-04-26,57.1
2018-04-27,57.21
2018-04-28,56.71
2018-04-29,57.01
2018-04-30,57.28
2018-05-01,56.41
2018-05-02,55.67
2018-05-03,55.23
2018-05-04,55.65
2018-05-05,55.52
2018-05-06,55.47
2018-05-07,57.87
2018-05-08,57.93
2018-05-09,59.83
2018-05-10,61.94
2018-05-11,62.23
2018-05-12,61.33
2018-05-13,61.83
2018-05-14,62.34
2018-05-15,61.28
2018-05-16,65.02
2018-05-17,65.52
2018-05-18,65.47
2018-05-19,65.34
2018-05-20,65.44
2018-05-21,66.83
2018-05-22,68.26
2018-05-23,68.86
2018-05-24,69.92
2018-05-25,68.7
2018-05-26,69.16
2018-05-27,69.26
2018-05-28,70.14
2018-05-29,70.12
2018-05-30,68.43
2018-05-31,64.37
2018-06-01,65.94
2018-06-02,66.25
2018-06-03,65.52
2018-06-04,69.19
2018-06-05,67.45
2018-06-06,68.16
2018-06-07,68.17
2018-06-08,67.81
2018-06-09,68.05
2018-06-10,68.01
2018-06-11,66.09
2018-06-12,64.77
2018-06-13,65.51
2018-06-14,63.73
2018-06-15,62.17
2018-06-16,63.8
2018-06-17,63.23
2018-06-18,62.55
2018-06-19,61.34
2018-06-20,62.52
2018-06-21,64.11
2018-06-22,65.18
2018-06-23,63.94
2018-06-24,64.41
2018-06-25,64.92
2018-06-26,65.13
2018-06-27,66.2
2018-06-28,65.31
2018-06-29,65.33
2018-06-30,65.61
2018-07-01,65.42
2018-07-02,66.21
2018-07-03,66.35
2018-07-04,68.17
2018-07-05,68.65
2018-07-06,68.4
2018-07-07,68.41
2018-07-08,68.49
2018-07-09,69.35
2018-07-10,69.58
2018-07-11,70.7
2018-07-12,69.56
2018-07-13,69.49
2018-07-14,69.92
2018-07-15,69.66
2018-07-16,68.58
2018-07-17,69.05
2018-07-18,70.56
2018-07-19,72.72
2018-07-20,73.84
2018-07-21,72.37
2018-07-22,72.98
2018-07-23,75.15
2018-07-24,73.9
2018-07-25,74.54
2018-07-26,74.19
2018-07-27,73.46
2018-07-28,74.06
2018-07-29,73.9
2018-07-30,72.96
2018-07-31,74.37
2018-08-01,75.95
2018-08-02,75.34
2018-08-03,75.5
2018-08-04,75.6
2018-08-05,75.48
2018-08-06,74.92
2018-08-07,74.45
2018-08-08,74.06
2018-08-09,75.08
2018-08-10,76.74
2018-08-11,75.29
2018-08-12,75.7
2018-08-13,77.72
2018-08-14,77.98
2018-08-15,77.73
2018-08-16,77.49
2018-08-17,78.06
2018-08-18,77.76
2018-08-19,77.77
2018-08-20,79.42
2018-08-21,83.15
2018-08-22,84.97
2018-08-23,87.36
2018-08-24,88.51
2018-08-25,86.95
2018-08-26,87.61
2018-08-27,90.98
2018-08-28,88.39
2018-08-29,90.25
2018-08-30,90.76
2018-08-31,90.51
2018-09-01,90.51
2018-09-02,90.59
2018-09-03,86.54
2018-09-04,86.86
2018-09-05,87.88
2018-09-06,92.65
2018-09-07,99.95
2018-09-08,93.49
2018-09-09,95.36
2018-09-10,108.74
2018-09-11,104.03
2018-09-12,98.9
2018-09-13,81.45
2018-09-14,85.94
2018-09-15,88.76
2018-09-16,85.38
2018-09-17,89.99
2018-09-18,86.96
2018-09-19,92.11
2018-09-20,94.46
2018-09-21,94.98
2018-09-22,93.85
2018-09-23,94.43
2018-09-24,96.57
2018-09-25,91.13
2018-09-26,86.66
2018-09-27,89.1
2018-09-28,90.49
2018-09-29,88.75
2018-09-30,89.45
2018-10-01,91.36
2018-10-02,90.05
2018-10-03,90.87
2018-10-04,91.88
2018-10-05,95.44
2018-10-06,92.73
2018-10-07,93.35
2018-10-08,94.44
2018-10-09,89.72
2018-10-10,83.8
2018-10-11,85.79
2018-10-12,87.61
2018-10-13,85.73
2018-10-14,86.38
2018-10-15,79.73
2018-10-16,82.76
2018-10-17,82.69
2018-10-18,84.81
2018-10-19,84.88
2018-10-20,84.13
2018-10-21,84.61
2018-10-22,81.55
2018-10-23,82.68
2018-10-24,84.41
2018-10-25,82.29
2018-10-26,78.82
2018-10-27,81.84
2018-10-28,80.98
2018-10-29,72.0
2018-10-30,69.41
2018-10-31,70.78
2018-11-01,67.68
2018-11-02,73.83
2018-11-03,70.76
2018-11-04,70.76
2018-11-05,74.34
2018-11-06,75.74
2018-11-07,79.99
2018-11-08,84.01
2018-11-09,83.62
2018-11-10,82.54
2018-11-11,83.39
2018-11-12,88.05
2018-11-13,86.6
2018-11-14,84.79
2018-11-15,81.59
2018-11-16,82.08
2018-11-17,82.82
2018-11-18,82.16
2018-11-19,81.87
2018-11-20,84.32
2018-11-21,88.27
2018-11-22,90.08
2018-11-23,86.79
2018-11-24,88.38
2018-11-25,88.42
2018-11-26,85.03
2018-11-27,84.19
2018-11-28,82.88
2018-11-29,85.91
2018-11-30,87.95
2018-12-01,85.58
2018-12-02,86.48
2018-12-03,88.36
2018-12-04,88.74
2018-12-05,84.39
2018-12-06,85.8
2018-12-07,87.01
2018-12-08,85.73
2018-12-09,86.18
2018-12-10,89.51
2018-12-11,86.65
2018-12-12,92.24
2018-12-13,95.85
2018-12-14,100.55
2018-12-15,96.21
2018-12-16,97.54
2018-12-17,104.13
2018-12-18,103.68
2018-12-19,104.99
2018-12-20,104.32
2018-12-21,106.35
2018-12-22,105.22
2018-12-23,105.3
2018-12-24,107.06
2018-12-25,105.86
2018-12-26,107.06
2018-12-27,106.58
2018-12-28,106.73
2018-12-29,106.79
2018-12-30,106.7
2018-12-31,106.75
2019-01-01,106.75
2019-01-02,108.39
2019-01-03,99.87
2019-01-04,101.69
2019-01-05,103.32
2019-01-06,101.63
2019-01-07,95.37
2019-01-08,97.92
2019-01-09,94.44
2019-01-10,94.89
2019-01-11,97.42
2019-01-12,95.58
2019-01-13,95.96
2019-01-14,96.58
2019-01-15,96.88
2019-01-16,100.2
2019-01-17,101.16
2019-01-18,106.49
2019-01-19,102.62
2019-01-20,103.42
2019-01-21,104.74
2019-01-22,107.68
2019-01-23,105.63
2019-01-24,103.04
2019-01-25,102.55
2019-01-26,103.74
2019-01-27,103.11
2019-01-28,97.37
2019-01-29,100.22
2019-01-30,98.75
2019-01-31,95.17
2019-02-01,93.62
2019-02-02,95.85
2019-02-03,94.88
2019-02-04,98.48
2019-02-05,99.1
2019-02-06,101.54
2019-02-07,100.77
2019-02-08,96.12
2019-02-09,99.48
2019-02-10,98.79
2019-02-11,96.46
2019-02-12,89.31
2019-02-13,90.5
2019-02-14,85.59
2019-02-15,88.08
2019-02-16,88.06
2019-02-17,87.24
2019-02-18,86.5
2019-02-19,87.3
2019-02-20,88.61
2019-02-21,81.31
2019-02-22,81.98
2019-02-23,83.97
2019-02-24,82.42
2019-02-25,83.38
2019-02-26,85.06
2019-02-27,91.65
2019-02-28,93.35
2019-03-01,95.81
2019-03-02,93.6
2019-03-03,94.25
2019-03-04,99.24
2019-03-05,98.49
2019-03-06,94.96
2019-03-07,99.95
2019-03-08,98.98
2019-03-09,97.96
2019-03-10,98.96
2019-03-11,95.6
2019-03-12,95.82
2019-03-13,95.63
2019-03-14,97.61
2019-03-15,96.51
2019-03-16,96.58
2019-03-17,96.9
2019-03-18,93.62
2019-03-19,90.5
2019-03-20,92.51
2019-03-21,89.56
2019-03-22,88.46
2019-03-23,90.18
2019-03-24,89.4
2019-03-25,89.81
2019-03-26,92.08
2019-03-27,93.75
2019-03-28,95.52
2019-03-29,92.48
2019-03-30,93.92
2019-03-31,93.97
2019-04-01,94.12
2019-04-02,94.51
2019-04-03,99.33
2019-04-04,104.71
2019-04-05,105.33
2019-04-06,103.12
2019-04-07,104.39
2019-04-08,104.12
2019-04-09,109.33
2019-04-10,111.88
2019-04-11,116.92
2019-04-12,113.74
2019-04-13,114.18
2019-04-14,114.95
2019-04-15,114.38
2019-04-16,115.24
2019-04-17,117.22
2019-04-18,114.87
2019-04-19,115.78
2019-04-20,115.96
2019-04-21,115.54
2019-04-22,114.92
2019-04-23,117.89
2019-04-24,117.33
2019-04-25,117.05
2019-04-26,110.77
2019-04-27,115.05
2019-04-28,114.29
2019-04-29,113.17
2019-04-30,112.62
2019-05-01,110.43
2019-05-02,105.52
2019-05-03,107.68
2019-05-04,107.88
2019-05-05,107.03
2019-05-06,108.39
2019-05-07,112.98
2019-05-08,115.32
2019-05-09,113.74
2019-05-10,109.87
2019-05-11,112.98
2019-05-12,112.2
2019-05-13,107.59
2019-05-14,111.41
2019-05-15,111.77
2019-05-16,109.64
2019-05-17,107.53
2019-05-18,109.65
2019-05-19,108.94
2019-05-20,108.26
2019-05-21,109.17
2019-05-22,113.55
2019-05-23,112.15
2019-05-24,109.37
2019-05-25,111.69
2019-05-26,111.07
2019-05-27,109.74
2019-05-28,109.33
2019-05-29,109.69
2019-05-30,108.41
2019-05-31,104.9
2019-06-01,107.67
2019-06-02,106.99
2019-06-03,101.5
2019-06-04,104.96
2019-06-05,103.64
2019-06-06,102.49
2019-06-07,104.74
2019-06-08,103.62
2019-06-09,103.62
2019-06-10,107.29
2019-06-11,106.49
2019-06-12,105.75
2019-06-13,106.24
2019-06-14,106.47
2019-06-15,106.15
2019-06-16,106.29
2019-06-17,106.45
2019-06-18,107.0
2019-06-19,106.42
2019-06-20,106.96
2019-06-21,107.71
2019-06-22,107.03
2019-06-23,107.23
2019-06-24,112.09
2019-06-25,112.3
2019-06-26,116.68
2019-06-27,114.3
2019-06-28,111.67
2019-06-29,114.22
2019-06-30,113.4
2019-07-01,114.06
2019-07-02,113.38
2019-07-03,112.39
2019-07-04,110.26
2019-07-05,111.9
2019-07-06,111.52
2019-07-07,111.23
2019-07-08,113.9
2019-07-09,113.16
2019-07-10,120.34
2019-07-11,120.66
2019-07-12,122.81
2019-07-13,121.27
2019-07-14,121.58
2019-07-15,123.97
2019-07-16,121.14
2019-07-17,121.36
2019-07-18,118.3
2019-07-19,122.93
2019-07-20,120.86
2019-07-21,120.7
2019-07-22,123.07
2019-07-23,126.53
2019-07-24,124.19
2019-07-25,123.3
2019-07-26,120.57
2019-07-27,122.69
2019-07-28,122.19
2019-07-29,121.5
2019-07-30,119.62
2019-07-31,120.02
2019-08-01,126.37
2019-08-02,125.97
2019-08-03,124.12
2019-08-04,125.49
2019-08-05,123.89
2019-08-06,122.41
2019-08-07,122.05
2019-08-08,123.2
2019-08-09,121.51
2019-08-10,122.25
2019-08-11,122.32
2019-08-12,115.52
2019-08-13,117.39
2019-08-14,116.88
2019-08-15,112.86
2019-08-16,113.01
2019-08-17,114.25
2019-08-18,113.37
2019-08-19,115.6
2019-08-20,114.56
2019-08-21,113.23
2019-08-22,111.96
2019-08-23,109.29
2019-08-24,111.49
2019-08-25,110.91
2019-08-26,112.9
2019-08-27,110.98
2019-08-28,114.05
2019-08-29,115.94
2019-08-30,115.4
2019-08-31,115.13
2019-09-01,115.49
2019-09-02,110.06
2019-09-03,110.14
2019-09-04,110.74
2019-09-05,110.83
2019-09-06,108.8
2019-09-07,110.12
2019-09-08,109.92
2019-09-09,108.51
2019-09-10,115.93
2019-09-11,113.93
2019-09-12,114.66
2019-09-13,114.57
2019-09-14,114.39
2019-09-15,114.54
2019-09-16,116.95
2019-09-17,113.79
2019-09-18,110.4
2019-09-19,112.75
2019-09-20,115.26
2019-09-21,112.8
2019-09-22,113.6
2019-09-23,113.2
2019-09-24,111.85
2019-09-25,110.51
2019-09-26,112.43
2019-09-27,110.98
2019-09-28,111.31
2019-09-29,111.57
2019-09-30,108.11
2019-10-01,109.55
2019-10-02,105.98
2019-10-03,101.04
2019-10-04,99.42
2019-10-05,102.15
2019-10-06,100.87
2019-10-07,101.39
2019-10-08,97.54
2019-10-09,98.04
2019-10-10,100.58
2019-10-11,105.41
2019-10-12,101.34
2019-10-13,102.44
2019-10-14,103.74
2019-10-15,110.48
2019-10-16,112.93
2019-10-17,111.64
2019-10-18,110.84
2019-10-19,111.8
2019-10-20,111.43
2019-10-21,110.88
2019-10-22,109.76
2019-10-23,105.88
2019-10-24,108.87
2019-10-25,106.73
2019-10-26,107.16
2019-10-27,107.59
2019-10-28,107.31
2019-10-29,108.77
2019-10-30,110.89
2019-10-31,109.12
2019-11-01,107.76
2019-11-02,109.26
2019-11-03,108.71
2019-11-04,109.0
2019-11-05,108.74
2019-11-06,105.82
2019-11-07,106.35
2019-11-08,105.89
2019-11-09,106.02
2019-11-10,106.09
2019-11-11,106.26
2019-11-12,103.21
2019-11-13,104.58
2019-11-14,102.82
2019-11-15,102.08
2019-11-16,103.16
2019-11-17,102.69
2019-11-18,100.31
2019-11-19,100.61
2019-11-20,103.09
2019-11-21,102.83
2019-11-22,105.6
2019-11-23,103.84
2019-11-24,104.09
2019-11-25,105.01
2019-11-26,104.81
2019-11-27,108.26
2019-11-28,108.11
2019-11-29,109.07
2019-11-30,108.48
2019-12-01,108.55
2019-12-02,104.63
2019-12-03,102.93
2019-12-04,105.83
2019-12-05,105.65
2019-12-06,106.47
2019-12-07,105.98
2019-12-08,106.03
2019-12-09,107.58
2019-12-10,106.93
2019-12-11,104.8
2019-12-12,107.47
2019-12-13,102.66
2019-12-14,104.98
2019-12-15,105.04
2019-12-16,106.15
2019-12-17,110.76
2019-12-18,113.02
2019-12-19,114.19
2019-12-20,113.43
2019-12-21,113.55
2019-12-22,113.72
2019-12-23,112.67
2019-12-24,110.82
2019-12-25,112.4
2019-12-26,110.82
2019-12-27,113.56
2019-12-28,112.26
2019-12-29,112.21
2019-12-30,106.55
2019-12-31,104.59
2020-01-01,107.78
2020-01-02,103.62
2020-01-03,106.15
2020-01-04,105.85
2020-01-05,105.21
2020-01-06,103.04
2020-01-07,103.78
2020-01-08,102.03
2020-01-09,104.61
2020-01-10,102.65
2020-01-11,103.1
2020-01-12,103.45
2020-01-13,102.1
2020-01-14,100.76
2020-01-15,103.47
2020-01-16,105.11
2020-01-17,107.6
2020-01-18,105.39
2020-01-19,106.03
2020-01-20,106.67
2020-01-21,105.69
2020-01-22,105.86
2020-01-23,104.79
2020-01-24,103.47
2020-01-25,104.71
2020-01-26,104.32
2020-01-27,104.83
2020-01-28,105.38
2020-01-29,102.47
2020-01-30,101.5
2020-01-31,102.6
2020-02-01,102.19
2020-02-02,102.1
2020-02-03,99.77
2020-02-04,100.02
2020-02-05,101.19
2020-02-06,100.13
2020-02-07,99.39
2020-02-08,100.24
2020-02-09,99.92
2020-02-10,98.83
2020-02-11,99.14
2020-02-12,101.67
2020-02-13,103.75
2020-02-14,102.92
2020-02-15,102.78
2020-02-16,103.15
2020-02-17,106.37
2020-02-18,107.24
2020-02-19,109.76
2020-02-20,109.6
2020-02-21,109.55
2020-02-22,109.64
2020-02-23,109.6
2020-02-24,105.58
2020-02-25,103.89
2020-02-26,104.41
2020-02-27,101.68
2020-02-28,102.27
2020-02-29,102.79
2020-03-01,102.25
2020-03-02,101.64
2020-03-03,100.81
2020-03-04,102.38
2020-03-05,102.31
2020-03-06,101.06
2020-03-07,101.92
2020-03-08,101.76
2020-03-09,100.44
2020-03-10,104.09
2020-03-11,103.2
2020-03-12,97.96
2020-03-13,95.62
2020-03-14,98.93
2020-03-15,97.5
2020-03-16,85.42
2020-03-17,82.08
2020-03-18,68.41
2020-03-19,75.05
2020-03-20,73.12
2020-03-21,72.19
2020-03-22,73.45
2020-03-23,70.72
2020-03-24,77.02
2020-03-25,80.02
2020-03-26,79.49
2020-03-27,73.91
2020-03-28,77.81
2020-03-29,77.07
2020-03-30,77.28
2020-03-31,80.26
2020-04-01,77.77
2020-04-02,82.53
2020-04-03,82.04
2020-04-04,80.78
2020-04-05,81.78
2020-04-06,92.87
2020-04-07,92.72
2020-04-08,95.77
2020-04-09,95.41
2020-04-10,94.63
2020-04-11,95.27
2020-04-12,95.1
2020-04-13,95.65
2020-04-14,90.01
2020-04-15,87.25
2020-04-16,94.78
2020-04-17,98.29
2020-04-18,93.44
2020-04-19,95.5
2020-04-20,96.4
2020-04-21,89.74
2020-04-22,93.55
2020-04-23,95.46
2020-04-24,93.84
2020-04-25,94.28
2020-04-26,94.53
2020-04-27,91.53
2020-04-28,91.58
2020-04-29,91.59
2020-04-30,88.67
2020-05-01,86.01
2020-05-02,88.76
2020-05-03,87.81
2020-05-04,88.09
2020-05-05,86.54
2020-05-06,86.12
2020-05-07,88.76
2020-05-08,88.04
2020-05-09,87.64
2020-05-10,88.15
2020-05-11,86.74
2020-05-12,84.27
2020-05-13,85.11
2020-05-14,85.95
2020-05-15,87.2
2020-05-16,86.09
2020-05-17,86.41
2020-05-18,92.72
2020-05-19,90.91
2020-05-20,96.68
2020-05-21,95.92
2020-05-22,96.67
2020-05-23,96.42
2020-05-24,96.34
2020-05-25,97.19
2020-05-26,96.54
2020-05-27,94.45
2020-05-28,93.9
2020-05-29,95.09
2020-05-30,94.48
2020-05-31,94.49
2020-06-01,92.53
2020-06-02,96.78
2020-06-03,96.7
2020-06-04,98.37
2020-06-05,102.8
2020-06-06,99.29
2020-06-07,100.15
2020-06-08,100.48
2020-06-09,99.79
2020-06-10,101.92
2020-06-11,99.04
2020-06-12,97.74
2020-06-13,99.57
2020-06-14,98.78
2020-06-15,98.31
2020-06-16,100.77
2020-06-17,101.18
2020-06-18,108.89
2020-06-19,107.48
2020-06-20,105.85
2020-06-21,107.41
2020-06-22,109.12
2020-06-23,112.64
2020-06-24,113.04
2020-06-25,111.97
2020-06-26,110.19
2020-06-27,111.73
2020-06-28,111.3
2020-06-29,118.83
2020-06-30,120.3
2020-07-01,123.04
2020-07-02,122.03
2020-07-03,124.59
2020-07-04,123.22
2020-07-05,123.28
2020-07-06,132.58
2020-07-07,131.03
2020-07-08,131.11
2020-07-09,127.77
2020-07-10,129.74
2020-07-11,129.54
2020-07-12,129.02
2020-07-13,131.0
2020-07-14,133.01
2020-07-15,128.86
2020-07-16,119.29
2020-07-17,124.62
2020-07-18,124.26
2020-07-19,122.72
2020-07-20,116.84
2020-07-21,117.98
2020-07-22,118.16
2020-07-23,120.34
2020-07-24,116.17
2020-07-25,118.22
2020-07-26,118.24
2020-07-27,110.02
2020-07-28,113.08
2020-07-29,115.61
2020-07-30,112.53
2020-07-31,115.68
2020-08-01,114.61
2020-08-02,114.27
2020-08-03,115.33
2020-08-04,118.11
2020-08-05,117.56
2020-08-06,116.18
2020-08-07,116.54
2020-08-08,116.76
2020-08-09,116.49
2020-08-10,117.51
2020-08-11,115.21
2020-08-12,114.48
2020-08-13,111.87
2020-08-14,111.99
2020-08-15,112.78
2020-08-16,112.21
2020-08-17,115.37
2020-08-18,116.64
2020-08-19,115.05
2020-08-20,113.78
2020-08-21,112.57
2020-08-22,113.8
2020-08-23,113.38
2020-08-24,121.2
2020-08-25,125.55
2020-08-26,125.99
2020-08-27,125.12
2020-08-28,129.91
2020-08-29,127.01
2020-08-30,127.35
2020-08-31,125.99
2020-09-01,121.8
2020-09-02,124.46
2020-09-03,126.89
2020-09-04,121.68
2020-09-05,124.34
2020-09-06,124.3
2020-09-07,120.36
