TIME,VALUE,FORECAST
2018-01-01 01:00:00,14978.538,15200
2018-01-01 02:00:00,14397.65,14600
2018-01-01 03:00:00,13789.463,14000
2018-01-01 04:00:00,13434.45,13600
2018-01-01 05:00:00,13285.238,13400
2018-01-01 06:00:00,13193.038,13200
2018-01-01 07:00:00,13236.713,13300
2018-01-01 08:00:00,13214.075,13300
2018-01-01 09:00:00,13025.188,13500
2018-01-01 10:00:00,13705.938,14000
2018-01-01 11:00:00,14329.763,14600
2018-01-01 12:00:00,14824.3,15200
2018-01-01 13:00:00,15318.663,15500
2018-01-01 14:00:00,15833.963,15900
2018-01-01 15:00:00,15944.888,15900
2018-01-01 16:00:00,16059.463,16800
2018-01-01 17:00:00,17307.425,17900
2018-01-01 18:00:00,17699.175,18000
2018-01-01 19:00:00,17697.0,18100
2018-01-01 20:00:00,17836.438,18100
2018-01-01 21:00:00,17463.875,17900
2018-01-01 22:00:00,16550.713,17100
2018-01-01 23:00:00,15860.363,16200
2018-01-02 00:00:00,14855.538,15100
2018-01-02 01:00:00,14040.125,13700
2018-01-02 02:00:00,13541.438,13300
2018-01-02 03:00:00,13407.438,13050
2018-01-02 04:00:00,13467.875,13200
2018-01-02 05:00:00,13797.4,14000
2018-01-02 06:00:00,14759.825,15800
2018-01-02 07:00:00,17559.463,19100
2018-01-02 08:00:00,19505.063,20500
2018-01-02 09:00:00,20485.15,21800
2018-01-02 10:00:00,21277.4,22100
2018-01-02 11:00:00,21514.525,22400
2018-01-02 12:00:00,21657.838,22600
2018-01-02 13:00:00,21773.513,22900
2018-01-02 14:00:00,22255.6,23000
2018-01-02 15:00:00,22072.875,22600
2018-01-02 16:00:00,22230.238,23000
2018-01-02 17:00:00,23158.013,23900
2018-01-02 18:00:00,23081.975,23700
2018-01-02 19:00:00,22746.813,23400
2018-01-02 20:00:00,22642.15,23300
2018-01-02 21:00:00,21971.863,22600
2018-01-02 22:00:00,20680.563,21300
2018-01-02 23:00:00,19244.338,19500
2018-01-03 00:00:00,17861.925,18100
2018-01-03 01:00:00,16709.975,17500
2018-01-03 02:00:00,16198.1,17000
2018-01-03 03:00:00,15877.688,16800
2018-01-03 04:00:00,15839.863,16900
2018-01-03 05:00:00,16160.975,17300
2018-01-03 06:00:00,16890.238,18600
2018-01-03 07:00:00,19563.788,21800
2018-01-03 08:00:00,21727.25,22600
2018-01-03 09:00:00,22419.488,23500
2018-01-03 10:00:00,22748.6,23600
2018-01-03 11:00:00,22748.45,23900
2018-01-03 12:00:00,23177.688,24000
2018-01-03 13:00:00,23317.375,24000
2018-01-03 14:00:00,23538.413,24300
2018-01-03 15:00:00,23316.525,23800
2018-01-03 16:00:00,23472.85,24100
2018-01-03 17:00:00,24281.738,25000
2018-01-03 18:00:00,24188.413,24700
2018-01-03 19:00:00,23921.713,24400
2018-01-03 20:00:00,23829.075,24400
2018-01-03 21:00:00,23012.05,23600
2018-01-03 22:00:00,21402.9,22200
2018-01-03 23:00:00,19850.738,20600
2018-01-04 00:00:00,18520.0,19200
2018-01-04 01:00:00,17370.738,17300
2018-01-04 02:00:00,16812.688,16600
2018-01-04 03:00:00,16475.45,16300
2018-01-04 04:00:00,16547.513,16400
2018-01-04 05:00:00,16739.45,17000
2018-01-04 06:00:00,17454.738,18200
2018-01-04 07:00:00,19950.763,21600
2018-01-04 08:00:00,21894.025,22600
2018-01-04 09:00:00,22638.15,23500
2018-01-04 10:00:00,22886.2,23700
2018-01-04 11:00:00,22892.538,23800
2018-01-04 12:00:00,23074.625,23850
2018-01-04 13:00:00,23171.113,24000
2018-01-04 14:00:00,23422.563,24200
2018-01-04 15:00:00,23131.85,23700
2018-01-04 16:00:00,23158.313,24400
2018-01-04 17:00:00,24183.475,24900
2018-01-04 18:00:00,24057.1,24600
2018-01-04 19:00:00,23745.325,24300
2018-01-04 20:00:00,23656.463,24100
2018-01-04 21:00:00,23029.975,23400
2018-01-04 22:00:00,21602.038,22000
2018-01-04 23:00:00,20028.688,20200
2018-01-05 00:00:00,18718.313,18600
2018-01-05 01:00:00,17467.638,17200
2018-01-05 02:00:00,16854.713,16500
2018-01-05 03:00:00,16593.988,16300
2018-01-05 04:00:00,16717.863,16400
2018-01-05 05:00:00,16845.488,16900
2018-01-05 06:00:00,17663.275,18300
2018-01-05 07:00:00,20092.55,21600
2018-01-05 08:00:00,21964.625,22500
2018-01-05 09:00:00,22564.363,23400
2018-01-05 10:00:00,22859.713,23500
2018-01-05 11:00:00,22807.275,23800
2018-01-05 12:00:00,23013.925,23900
2018-01-05 13:00:00,23075.413,24000
2018-01-05 14:00:00,23360.425,24300
2018-01-05 15:00:00,23088.113,23900
2018-01-05 16:00:00,23188.263,24200
2018-01-05 17:00:00,24071.775,24900
2018-01-05 18:00:00,24061.613,24700
2018-01-05 19:00:00,23709.513,24400
2018-01-05 20:00:00,23504.0,24200
2018-01-05 21:00:00,22733.15,23500
2018-01-05 22:00:00,21331.25,22000
2018-01-05 23:00:00,19870.313,20400
2018-01-06 00:00:00,18515.6,19000
2018-01-06 01:00:00,17260.738,17700
2018-01-06 02:00:00,16546.463,16900
2018-01-06 03:00:00,15996.725,16500
2018-01-06 04:00:00,15879.363,16300
2018-01-06 05:00:00,15773.525,16300
2018-01-06 06:00:00,15546.65,16200
2018-01-06 07:00:00,15620.163,16400
2018-01-06 08:00:00,15802.625,16400
2018-01-06 09:00:00,16351.438,17300
2018-01-06 10:00:00,17285.125,18200
2018-01-06 11:00:00,17954.888,18800
2018-01-06 12:00:00,18332.75,18900
2018-01-06 13:00:00,18548.075,19200
2018-01-06 14:00:00,18596.838,19400
2018-01-06 15:00:00,18255.5,19100
2018-01-06 16:00:00,18225.375,19400
2018-01-06 17:00:00,19327.388,20600
2018-01-06 18:00:00,19450.838,20700
2018-01-06 19:00:00,19213.388,20700
2018-01-06 20:00:00,19134.15,20700
2018-01-06 21:00:00,18817.675,20200
2018-01-06 22:00:00,18092.138,19500
2018-01-06 23:00:00,17389.525,18700
2018-01-07 00:00:00,16357.625,17300
2018-01-07 01:00:00,15330.0,16100
2018-01-07 02:00:00,14662.438,15400
2018-01-07 03:00:00,14367.65,15100
2018-01-07 04:00:00,14295.763,14900
2018-01-07 05:00:00,14252.75,15000
2018-01-07 06:00:00,14437.188,15200
2018-01-07 07:00:00,15029.363,15700
2018-01-07 08:00:00,15406.488,15900
2018-01-07 09:00:00,15792.563,16900
2018-01-07 10:00:00,16873.075,18000
2018-01-07 11:00:00,17689.388,18400
2018-01-07 12:00:00,18014.913,18600
2018-01-07 13:00:00,18448.475,18800
2018-01-07 14:00:00,18755.25,18900
2018-01-07 15:00:00,18660.725,18700
2018-01-07 16:00:00,18634.55,18900
2018-01-07 17:00:00,19686.5,20300
2018-01-07 18:00:00,20048.513,20500
2018-01-07 19:00:00,20171.763,20600
2018-01-07 20:00:00,20386.263,20700
2018-01-07 21:00:00,19826.538,20000
2018-01-07 22:00:00,18736.575,19100
2018-01-07 23:00:00,17886.925,18200
2018-01-08 00:00:00,16836.213,17100
2018-01-08 01:00:00,15993.188,15950
2018-01-08 02:00:00,15633.588,15450
2018-01-08 03:00:00,15462.538,15350
2018-01-08 04:00:00,15445.813,15550
2018-01-08 05:00:00,15892.138,16250
2018-01-08 06:00:00,16939.325,18200
2018-01-08 07:00:00,20230.713,21900
2018-01-08 08:00:00,22551.325,22950
2018-01-08 09:00:00,23597.8,24050
2018-01-08 10:00:00,23968.55,24250
2018-01-08 11:00:00,23928.5,24250
2018-01-08 12:00:00,24129.125,24400
2018-01-08 13:00:00,24188.1,24500
2018-01-08 14:00:00,24275.863,24700
2018-01-08 15:00:00,23909.3,24300
2018-01-08 16:00:00,23781.813,24450
2018-01-08 17:00:00,24751.863,25450
2018-01-08 18:00:00,25002.675,25400
2018-01-08 19:00:00,24548.075,24950
2018-01-08 20:00:00,24529.988,24850
2018-01-08 21:00:00,23937.025,24050
2018-01-08 22:00:00,22274.288,22600
2018-01-08 23:00:00,20675.763,21000
2018-01-09 00:00:00,19269.825,19500
2018-01-09 01:00:00,18227.5,18300
2018-01-09 02:00:00,17727.65,17700
2018-01-09 03:00:00,17473.2,17400
2018-01-09 04:00:00,17431.313,17500
2018-01-09 05:00:00,17763.513,18100
2018-01-09 06:00:00,18542.288,19400
2018-01-09 07:00:00,21318.625,22700
2018-01-09 08:00:00,23333.688,23550
2018-01-09 09:00:00,23889.425,24350
2018-01-09 10:00:00,24056.25,24450
2018-01-09 11:00:00,23884.9,24400
