TIME,VALUE
2004-01-01,2530.0
2004-01-08,2580.0
2004-01-13,2615.0
2004-01-16,2615.0
2004-01-21,2650.0
2004-01-24,2610.0
2004-01-31,2610.0
2004-02-03,2635.0
2004-02-06,2635.0
2004-02-11,2595.0
2004-02-13,2640.0
2004-02-19,2680.0
2004-02-27,2680.0
2004-02-28,2710.0
2004-03-02,2740.0
2004-03-04,2785.0
2004-03-06,2785.0
2004-03-10,2755.0
2004-03-12,2705.0
2004-03-13,2725.0
2004-03-17,2725.0
2004-03-19,2775.0
2004-03-27,2755.0
2004-03-31,2755.0
2004-04-01,2775.0
2004-04-03,2755.0
2004-04-06,2720.0
2004-04-08,2760.0
2004-04-09,2795.0
2004-04-15,2850.0
2004-04-17,2850.0
2004-04-23,2850.0
2004-04-24,2895.0
2004-04-28,2920.0
2004-04-30,2970.0
2004-05-07,2970.0
2004-05-08,3030.0
2004-05-12,3055.0
2004-05-14,3055.0
2004-05-15,3095.0
2004-05-18,3025.0
2004-05-20,2995.0
2004-05-25,2995.0
2004-05-27,2965.0
2004-05-29,2910.0
2004-06-01,2880.0
2004-06-03,2925.0
2004-06-05,2870.0
2004-06-08,2810.0
2004-06-15,2775.0
2004-06-18,2755.0
2004-06-22,2755.0
2004-06-26,2790.0
2004-06-30,2740.0
2004-07-02,2740.0
2004-07-04,2790.0
2004-07-06,2790.0
2004-07-07,2830.0
2004-07-09,2870.0
2004-07-10,2895.0
2004-07-13,2935.0
2004-07-15,2895.0
2004-07-16,2875.0
2004-07-20,2875.0
2004-07-22,2825.0
2004-07-23,2790.0
2004-07-24,2790.0
2004-07-29,2790.0
2004-07-30,2835.0
2004-07-31,2835.0
2004-08-05,2835.0
2004-08-06,2835.0
2004-08-07,2805.0
2004-08-11,2770.0
2004-08-17,2820.0
2004-08-19,2820.0
2004-08-20,2820.0
2004-08-21,2840.0
2004-08-27,2810.0
2004-08-28,2765.0
2004-09-02,2725.0
2004-09-04,2765.0
2004-09-09,2765.0
2004-09-10,2745.0
2004-09-11,2765.0
2004-09-17,2785.0
2004-09-18,2750.0
2004-09-21,2780.0
2004-09-24,2835.0
2004-09-29,2835.0
2004-10-02,2885.0
2004-10-06,2860.0
2004-10-08,2890.0
2004-10-09,2925.0
2004-10-13,2925.0
2004-10-15,2885.0
2004-10-16,2905.0
2004-10-20,2855.0
2004-10-21,2830.0
2004-10-23,2875.0
2004-10-29,2845.0
2004-10-30,2795.0
2004-11-04,2745.0
2004-11-05,2745.0
2004-11-09,2720.0
2004-11-11,2685.0
2004-11-13,2685.0
2004-11-17,2645.0
2004-11-20,2645.0
2004-11-23,2700.0
2004-11-26,2660.0
2004-11-27,2700.0
2004-11-30,2680.0
2004-12-02,2680.0
2004-12-03,2630.0
2004-12-04,2560.0
2004-12-07,2525.0
2004-12-09,2485.0
2004-12-11,2465.0
2004-12-17,2505.0
2004-12-18,2505.0
2004-12-23,2505.0
2004-12-24,2455.0
2004-12-25,2435.0
2004-12-31,2435.0
2005-01-01,2525.0
2005-01-06,2590.0
2005-01-08,2660.0
2005-01-11,2640.0
2005-01-12,2670.0
2005-01-14,2640.0
2005-01-15,2690.0
2005-01-18,2710.0
2005-01-20,2730.0
2005-01-25,2750.0
2005-01-26,2765.0
2005-01-28,2795.0
2005-02-01,2770.0
2005-02-03,2790.0
2005-02-05,2740.0
2005-02-08,2740.0
2005-02-09,2700.0
2005-02-11,2720.0
2005-02-12,2770.0
2005-02-15,2815.0
2005-02-16,2775.0
2005-02-18,2735.0
2005-02-22,2715.0
2005-02-23,2715.0
2005-02-24,2745.0
2005-02-26,2745.0
2005-03-01,2730.0
2005-03-03,2685.0
2005-03-04,2745.0
2005-03-05,2810.0
2005-03-08,2810.0
2005-03-09,2775.0
2005-03-10,2775.0
2005-03-11,2790.0
2005-03-12,2790.0
2005-03-15,2790.0
2005-03-16,2775.0
2005-03-17,2775.0
2005-03-18,2845.0
2005-03-19,2875.0
2005-03-22,2890.0
2005-03-23,2920.0
2005-03-24,2950.0
2005-03-26,2980.0
2005-03-31,3025.0
2005-04-02,3055.0
2005-04-05,3095.0
2005-04-06,3150.0
2005-04-07,3120.0
2005-04-08,3100.0
2005-04-12,2970.0
2005-04-13,2940.0
2005-04-15,2940.0
2005-04-16,2965.0
2005-04-20,2965.0
2005-04-21,3015.0
2005-04-23,3035.0
2005-04-26,3095.0
2005-04-27,3115.0
2005-04-28,3080.0
2005-04-29,3060.0
2005-04-30,3010.0
2005-05-03,3030.0
2005-05-05,2995.0
2005-05-06,2955.0
2005-05-07,2920.0
2005-05-10,2950.0
2005-05-11,2930.0
2005-05-12,2985.0
2005-05-13,2985.0
2005-05-14,2925.0
2005-05-17,2910.0
2005-05-18,2935.0
2005-05-20,2955.0
2005-05-22,2955.0
2005-05-25,2955.0
2005-05-26,2940.0
2005-05-27,2970.0
2005-05-28,2970.0
2005-06-01,2985.0
2005-06-02,2985.0
2005-06-03,3040.0
2005-06-04,3060.0
2005-06-08,3060.0
2005-06-09,3030.0
2005-06-10,3030.0
2005-06-11,3030.0
2005-06-14,3050.0
2005-06-15,3065.0
2005-06-16,3090.0
2005-06-17,3110.0
2005-06-18,3110.0
2005-06-19,3130.0
2005-06-21,3170.0
2005-06-22,3170.0
2005-06-23,3150.0
2005-06-24,3110.0
2005-06-25,3150.0
2005-06-29,3170.0
2005-07-01,3130.0
2005-07-02,3115.0
2005-07-03,3140.0
2005-07-05,3160.0
2005-07-06,3160.0
2005-07-07,3215.0
2005-07-08,3270.0
2005-07-09,3285.0
2005-07-10,3305.0
2005-07-12,3325.0
2005-07-13,3225.0
2005-07-14,3225.0
2005-07-15,3225.0
2005-07-17,3240.0
2005-07-19,3255.0
2005-07-20,3255.0
2005-07-21,3285.0
2005-07-23,3255.0
2005-07-27,3275.0
2005-07-28,3275.0
2005-07-29,3275.0
2005-07-30,3240.0
2005-07-31,3240.0
2005-08-03,3280.0
2005-08-04,3260.0
2005-08-06,3290.0
2005-08-09,3290.0
2005-08-10,3290.0
2005-08-11,3265.0
2005-08-13,3325.0
2005-08-17,3325.0
2005-08-18,3360.0
2005-08-19,3330.0
2005-08-20,3280.0
2005-08-21,3300.0
2005-08-23,3320.0
2005-08-24,3345.0
2005-08-25,3310.0
2005-08-26,3335.0
2005-08-27,3370.0
2005-08-28,3385.0
2005-08-30,3385.0
2005-09-01,3495.0
2005-09-02,3590.0
2005-09-03,3710.0
2005-09-04,3680.0
2005-09-06,3655.0
2005-09-07,3575.0
2005-09-08,3535.0
2005-09-09,3485.0
2005-09-10,3430.0
2005-09-11,3430.0
2005-09-14,3295.0
2005-09-15,3095.0
2005-09-16,3080.0
2005-09-17,3055.0
2005-09-18,3035.0
2005-09-20,2980.0
2005-09-21,3120.0
2005-09-22,3090.0
2005-09-23,3160.0
2005-09-24,3190.0
2005-09-25,3170.0
2005-09-27,3120.0
2005-09-28,3120.0
2005-09-29,3250.0
2005-09-30,3300.0
2005-10-01,3250.0
2005-10-02,3230.0
2005-10-04,3210.0
2005-10-05,3300.0
2005-10-06,3200.0
2005-10-07,3200.0
2005-10-08,3050.0
2005-10-12,2990.0
2005-10-13,3020.0
2005-10-14,3045.0
2005-10-15,3005.0
2005-10-16,2985.0
2005-10-17,2985.0
2005-10-18,2895.0
2005-10-19,2960.0
2005-10-20,2945.0
2005-10-21,2925.0
2005-10-22,2830.0
2005-10-25,2830.0
2005-10-26,2830.0
2005-10-27,2855.0
2005-10-28,2905.0
2005-10-29,2855.0
2005-11-01,2885.0
2005-11-02,2870.0
2005-11-03,2870.0
2005-11-04,2850.0
2005-11-05,2870.0
2005-11-06,2855.0
2005-11-09,2840.0
2005-11-12,2825.0
2005-11-15,2800.0
2005-11-16,2800.0
2005-11-17,2815.0
2005-11-18,2800.0
2005-11-20,2785.0
2005-11-22,2785.0
2005-11-24,2800.0
2005-11-25,2780.0
2005-11-29,2780.0
2005-12-01,2735.0
2005-12-02,2735.0
2005-12-04,2755.0
2005-12-06,2775.0
2005-12-07,2810.0
2005-12-08,2755.0
2005-12-09,2780.0
2005-12-11,2810.0
2005-12-13,2855.0
2005-12-14,2815.0
2005-12-15,2800.0
2005-12-17,2815.0
2005-12-20,2815.0
2005-12-21,2735.0
2005-12-22,2735.0
2005-12-23,2735.0
2005-12-24,2780.0
2005-12-25,2765.0
2005-12-28,2740.0
2005-12-30,2780.0
2005-12-31,2835.0
2006-01-01,2835.0
2006-01-03,2851.0
2006-01-04,2826.0
2006-01-05,2926.0
2006-01-06,2871.0
2006-01-07,2889.0
2006-01-10,2918.0
2006-01-11,2894.0
2006-01-12,2884.0
2006-01-13,2869.0
2006-01-14,2869.0
2006-01-15,2869.0
2006-01-17,2859.0
2006-01-18,2874.0
2006-01-19,2895.0
2006-01-20,2916.0
2006-01-21,2905.0
2006-01-24,2924.0
2006-01-25,2914.0
2006-01-26,2889.0
2006-01-27,2846.0
2006-01-28,2846.0
2006-01-31,2875.0
2006-02-01,2885.0
2006-02-03,2885.0
2006-02-04,2863.0
2006-02-07,2853.0
2006-02-08,2863.0
2006-02-09,2833.0
2006-02-10,2833.0
2006-02-11,2810.0
2006-02-14,2782.0
2006-02-15,2782.0
2006-02-16,2752.0
2006-02-17,2752.0
2006-02-18,2764.0
2006-02-21,2774.0
2006-02-22,2790.0
2006-02-24,2780.0
2006-02-25,2790.0
2006-02-28,2800.0
2006-03-01,2772.0
2006-03-02,2777.0
2006-03-03,2787.0
2006-03-04,2812.0
2006-03-07,2823.0
2006-03-10,2833.0
2006-03-11,2878.0
2006-03-14,2895.0
2006-03-15,2918.0
2006-03-16,2961.0
2006-03-17,2992.0
2006-03-18,2976.0
2006-03-21,2976.0
2006-03-22,2976.0
2006-03-23,2961.0
2006-03-24,3003.0
2006-03-25,2993.0
2006-03-28,3030.0
2006-03-29,3020.0
2006-03-30,3068.0
2006-03-31,3093.0
2006-04-01,3116.0
2006-04-04,3106.0
2006-04-05,3129.0
2006-04-06,3115.0
2006-04-07,3129.0
2006-04-08,3164.0
2006-04-12,3192.0
2006-04-13,3204.0
2006-04-14,3222.0
2006-04-15,3212.0
2006-04-20,3228.0
2006-04-21,3246.0
2006-04-22,3226.0
2006-04-25,3226.0
2006-04-26,3238.0
2006-04-27,3222.0
2006-04-28,3222.0
2006-04-29,3222.0
2006-05-03,3222.0
2006-05-05,3241.0
2006-05-06,3201.0
2006-05-09,3189.0
2006-05-10,3160.0
2006-05-11,3170.0
2006-05-12,3180.0
2006-05-13,3214.0
2006-05-16,3214.0
2006-05-17,3197.0
2006-05-18,3174.0
2006-05-19,3149.0
2006-05-20,3137.0
2006-05-23,3137.0
2006-05-24,3137.0
2006-05-25,3157.0
2006-05-26,3175.0
2006-05-27,3152.0
2006-05-30,3173.0
2006-06-01,3209.0
2006-06-02,3174.0
2006-06-03,3221.0
2006-06-06,3231.0
2006-06-07,3243.0
2006-06-08,3225.0
2006-06-10,3215.0
2006-06-13,3247.0
2006-06-14,3258.0
2006-06-15,3248.0
2006-06-16,3233.0
2006-06-17,3233.0
2006-06-20,3217.0
2006-06-21,3194.0
2006-06-22,3228.0
2006-06-23,3247.0
2006-06-24,3257.0
2006-06-27,3277.0
2006-06-28,3303.0
2006-06-29,3334.0
2006-06-30,3349.0
2006-07-01,3382.0
2006-07-04,3353.0
2006-07-06,3341.0
2006-07-07,3374.0
2006-07-08,3389.0
2006-07-11,3403.0
2006-07-12,3387.0
2006-07-13,3407.0
2006-07-14,3382.0
2006-07-15,3435.0
2006-07-18,3457.0
2006-07-19,3476.0
2006-07-20,3476.0
2006-07-21,3437.0
2006-07-22,3417.0
2006-07-25,3390.0
2006-07-26,3390.0
2006-07-27,3375.0
2006-07-28,3392.0
2006-07-29,3367.0
2006-08-01,3347.0
2006-08-02,3335.0
2006-08-03,3388.0
2006-08-04,3398.0
2006-08-05,3353.0
2006-08-09,3343.0
2006-08-10,3318.0
2006-08-11,3283.0
2006-08-12,3235.0
2006-08-15,3196.0
2006-08-17,3136.0
2006-08-18,3121.0
2006-08-19,3081.0
2006-08-22,3066.0
2006-08-23,3066.0
2006-08-24,3056.0
2006-08-25,3040.0
2006-08-26,3025.0
2006-08-28,3038.0
2006-08-29,3058.0
2006-08-31,3008.0
2006-09-01,2980.0
2006-09-02,2965.0
2006-09-05,2949.0
2006-09-06,2912.0
2006-09-08,2901.0
2006-09-12,2886.0
2006-09-13,2859.0
2006-09-14,2848.0
2006-09-15,2827.0
2006-09-16,2807.0
2006-09-19,2807.0
2006-09-20,2807.0
2006-09-21,2833.0
2006-09-22,2798.0
