Data;Godzina;RCE
20220301;1;698,69
20220301;2;665,53
20220301;3;637,31
20220301;4;637,68
20220301;5;678,66
20220301;6;707,10
20220301;7;797,24
20220301;8;693,10
20220301;9;692,95
20220301;10;643,47
20220301;11;619,47
20220301;12;595,84
20220301;13;588,62
20220301;14;589,90
20220301;15;610,34
20220301;16;651,35
20220301;17;761,56
20220301;18;932,90
20220301;19;988,84
20220301;20;926,68
20220301;21;845,15
20220301;22;687,20
20220301;23;720,01
20220301;24;625,16
20220302;1;665,47
20220302;2;629,46
20220302;3;615,55
20220302;4;624,78
20220302;5;654,41
20220302;6;693,95
20220302;7;817,55
20220302;8;729,10
20220302;9;731,17
20220302;10;653,38
20220302;11;638,54
20220302;12;650,18
20220302;13;635,10
20220302;14;622,51
20220302;15;633,04
20220302;16;678,77
20220302;17;803,69
20220302;18;956,89
20220302;19;1 045,83
20220302;20;983,62
20220302;21;898,63
20220302;22;708,73
20220302;23;737,10
20220302;24;681,76
20220303;1;686,61
20220303;2;656,11
20220303;3;643,37
20220303;4;649,41
20220303;5;665,46
20220303;6;745,79
20220303;7;848,11
20220303;8;747,73
20220303;9;783,94
20220303;10;646,91
20220303;11;611,14
20220303;12;619,68
20220303;13;615,70
20220303;14;590,06
20220303;15;586,52
20220303;16;613,15
20220303;17;736,21
20220303;18;862,21
20220303;19;956,74
20220303;20;923,78
20220303;21;882,34
20220303;22;669,92
20220303;23;735,49
20220303;24;649,20
20220304;1;638,98
20220304;2;612,33
20220304;3;610,67
20220304;4;618,09
20220304;5;637,76
20220304;6;679,28
20220304;7;805,20
20220304;8;727,19
20220304;9;799,57
20220304;10;769,19
20220304;11;699,47
20220304;12;701,38
20220304;13;680,85
20220304;14;700,13
20220304;15;671,37
20220304;16;702,67
20220304;17;787,98
20220304;18;999,51
20220304;19;1 013,44
20220304;20;973,47
20220304;21;896,12
20220304;22;680,14
20220304;23;747,02
20220304;24;644,72
20220305;1;699,95
20220305;2;650,60
20220305;3;686,43
20220305;4;714,49
20220305;5;741,73
20220305;6;729,59
20220305;7;766,83
20220305;8;759,00
20220305;9;776,76
20220305;10;782,79
20220305;11;761,98
20220305;12;767,45
20220305;13;763,02
20220305;14;762,94
20220305;15;779,67
20220305;16;783,74
20220305;17;855,54
20220305;18;942,51
20220305;19;1 034,21
20220305;20;1 004,67
