Data;Godzina;RCE
20220401;1;512,05
20220401;2;453,55
20220401;3;425,58
20220401;4;440,17
20220401;5;483,72
20220401;6;582,82
20220401;7;608,04
20220401;8;475,13
20220401;9;509,95
20220401;10;497,10
20220401;11;473,35
20220401;12;461,64
20220401;13;449,88
20220401;14;439,54
20220401;15;439,04
20220401;16;457,26
20220401;17;468,35
20220401;18;484,06
20220401;19;502,40
20220401;20;519,78
20220401;21;562,63
20220401;22;487,32
20220401;23;614,74
20220401;24;523,25
20220402;1;497,06
20220402;2;454,98
20220402;3;458,93
20220402;4;457,86
20220402;5;457,75
20220402;6;438,74
20220402;7;484,97
20220402;8;553,81
20220402;9;619,08
20220402;10;647,06
20220402;11;579,80
20220402;12;505,07
20220402;13;464,54
20220402;14;460,51
20220402;15;435,10
20220402;16;444,96
20220402;17;477,84
20220402;18;550,59
20220402;19;626,49
20220402;20;801,90
20220402;21;861,36
20220402;22;657,96
20220402;23;581,02
20220402;24;540,26
20220403;1;462,12
20220403;2;459,87
20220403;3;458,52
20220403;4;457,24
20220403;5;458,50
20220403;6;458,68
20220403;7;457,57
20220403;8;437,89
20220403;9;434,37
20220403;10;435,85
20220403;11;417,07
20220403;12;408,48
20220403;13;407,64
20220403;14;408,25
20220403;15;405,28
20220403;16;402,34
20220403;17;390,49
20220403;18;454,42
20220403;19;554,28
20220403;20;735,00
20220403;21;797,20
20220403;22;607,84
20220403;23;498,97
20220403;24;429,71
20220404;1;399,80
20220404;2;399,31
20220404;3;386,51
20220404;4;372,93
20220404;5;387,49
20220404;6;408,73
20220404;7;524,99
20220404;8;521,25
20220404;9;478,49
20220404;10;418,66
20220404;11;399,12
20220404;12;395,90
20220404;13;395,98
20220404;14;389,40
20220404;15;385,16
20220404;16;396,54
20220404;17;396,73
20220404;18;404,73
20220404;19;416,97
20220404;20;484,19
20220404;21;487,01
20220404;22;416,28
20220404;23;411,61
20220404;24;359,89
20220405;1;368,71
20220405;2;350,08
20220405;3;311,67
20220405;4;321,22
20220405;5;353,96
20220405;6;395,42
20220405;7;482,71
20220405;8;518,13
20220405;9;529,59
20220405;10;525,35
20220405;11;495,05
20220405;12;475,55
20220405;13;433,86
20220405;14;442,25
20220405;15;435,48
20220405;16;490,10
20220405;17;500,11
20220405;18;532,17
20220405;19;590,76
20220405;20;936,13
20220405;21;993,23
20220405;22;641,23
20220405;23;622,89
20220405;24;550,35
20220406;1;500,00
20220406;2;469,79
20220406;3;463,11
20220406;4;462,19
20220406;5;488,23
20220406;6;547,84
20220406;7;644,48
20220406;8;673,32
20220406;9;700,10
20220406;10;649,14
20220406;11;542,89
20220406;12;507,27
20220406;13;463,29
20220406;14;457,06
20220406;15;448,22
20220406;16;448,45
20220406;17;460,19
20220406;18;525,03
20220406;19;591,72
20220406;20;714,71
20220406;21;718,53
20220406;22;557,61
20220406;23;542,19
20220406;24;459,39
20220407;1;385,71
20220407;2;343,49
20220407;3;338,23
20220407;4;338,65
20220407;5;350,19
20220407;6;403,82
20220407;7;490,17
20220407;8;471,69
20220407;9;470,34
20220407;10;453,59
20220407;11;420,62
20220407;12;405,52
20220407;13;403,24
20220407;14;391,46
20220407;15;391,77
20220407;16;397,78
20220407;17;405,59
20220407;18;424,05
20220407;19;438,97
20220407;20;496,91
