TIME,VALUE
2018-01-01 01:00:00,117.02
2018-01-01 02:00:00,114.0
2018-01-01 03:00:00,99.02
2018-01-01 04:00:00,92.07
2018-01-01 05:00:00,82.44
2018-01-01 06:00:00,75.21
2018-01-01 07:00:00,78.77
2018-01-01 08:00:00,74.78
2018-01-01 09:00:00,75.48
2018-01-01 10:00:00,96.85
2018-01-01 11:00:00,107.71
2018-01-01 12:00:00,116.33
2018-01-01 13:00:00,116.92
2018-01-01 14:00:00,117.06
2018-01-01 15:00:00,117.07
2018-01-01 16:00:00,117.06
2018-01-01 17:00:00,120.29
2018-01-01 18:00:00,118.55
2018-01-01 19:00:00,119.5
2018-01-01 20:00:00,122.0
2018-01-01 21:00:00,118.69
2018-01-01 22:00:00,117.96
2018-01-01 23:00:00,117.04
2018-01-02 00:00:00,117.01
2018-01-02 01:00:00,116.32
2018-01-02 02:00:00,116.16
2018-01-02 03:00:00,116.01
2018-01-02 04:00:00,116.12
2018-01-02 05:00:00,119.85
2018-01-02 06:00:00,129.83
2018-01-02 07:00:00,149.29
2018-01-02 08:00:00,166.78
2018-01-02 09:00:00,182.91
2018-01-02 10:00:00,188.41
2018-01-02 11:00:00,197.54
2018-01-02 12:00:00,198.8
2018-01-02 13:00:00,203.17
2018-01-02 14:00:00,207.55
2018-01-02 15:00:00,200.77
2018-01-02 16:00:00,199.71
2018-01-02 17:00:00,215.12
2018-01-02 18:00:00,226.5
2018-01-02 19:00:00,213.81
2018-01-02 20:00:00,201.91
2018-01-02 21:00:00,188.83
2018-01-02 22:00:00,161.19
2018-01-02 23:00:00,145.59
2018-01-03 00:00:00,132.62
2018-01-03 01:00:00,126.75
2018-01-03 02:00:00,128.78
2018-01-03 03:00:00,124.02
2018-01-03 04:00:00,124.23
2018-01-03 05:00:00,130.35
2018-01-03 06:00:00,131.41
2018-01-03 07:00:00,147.62
2018-01-03 08:00:00,159.1
2018-01-03 09:00:00,158.38
2018-01-03 10:00:00,161.83
2018-01-03 11:00:00,154.82
2018-01-03 12:00:00,155.74
2018-01-03 13:00:00,153.13
2018-01-03 14:00:00,154.16
2018-01-03 15:00:00,152.59
2018-01-03 16:00:00,154.89
2018-01-03 17:00:00,164.66
2018-01-03 18:00:00,164.3
2018-01-03 19:00:00,157.53
2018-01-03 20:00:00,158.68
2018-01-03 21:00:00,149.56
2018-01-03 22:00:00,151.24
2018-01-03 23:00:00,128.47
2018-01-04 00:00:00,123.91
2018-01-04 01:00:00,111.56
2018-01-04 02:00:00,108.46
2018-01-04 03:00:00,104.57
2018-01-04 04:00:00,103.88
2018-01-04 05:00:00,105.92
2018-01-04 06:00:00,110.47
2018-01-04 07:00:00,136.95
2018-01-04 08:00:00,152.74
2018-01-04 09:00:00,150.56
2018-01-04 10:00:00,162.53
2018-01-04 11:00:00,163.22
2018-01-04 12:00:00,167.64
2018-01-04 13:00:00,169.63
2018-01-04 14:00:00,171.6
2018-01-04 15:00:00,169.77
2018-01-04 16:00:00,173.53
2018-01-04 17:00:00,192.47
2018-01-04 18:00:00,196.25
2018-01-04 19:00:00,191.63
2018-01-04 20:00:00,178.31
2018-01-04 21:00:00,163.17
2018-01-04 22:00:00,153.22
2018-01-04 23:00:00,131.84
2018-01-05 00:00:00,127.49
2018-01-05 01:00:00,117.93
2018-01-05 02:00:00,113.62
2018-01-05 03:00:00,110.94
2018-01-05 04:00:00,109.23
2018-01-05 05:00:00,110.3
2018-01-05 06:00:00,112.88
2018-01-05 07:00:00,137.39
2018-01-05 08:00:00,148.34
2018-01-05 09:00:00,155.78
2018-01-05 10:00:00,158.15
2018-01-05 11:00:00,161.12
2018-01-05 12:00:00,167.87
2018-01-05 13:00:00,167.58
2018-01-05 14:00:00,163.85
2018-01-05 15:00:00,165.34
2018-01-05 16:00:00,167.17
2018-01-05 17:00:00,180.65
2018-01-05 18:00:00,187.64
2018-01-05 19:00:00,182.84
2018-01-05 20:00:00,174.62
2018-01-05 21:00:00,168.56
2018-01-05 22:00:00,157.9
2018-01-05 23:00:00,147.63
2018-01-06 00:00:00,144.93
2018-01-06 01:00:00,129.13
2018-01-06 02:00:00,118.38
2018-01-06 03:00:00,118.23
2018-01-06 04:00:00,118.1
2018-01-06 05:00:00,118.19
2018-01-06 06:00:00,119.24
2018-01-06 07:00:00,118.38
2018-01-06 08:00:00,120.67
2018-01-06 09:00:00,137.13
2018-01-06 10:00:00,147.37
2018-01-06 11:00:00,148.1
2018-01-06 12:00:00,150.67
2018-01-06 13:00:00,154.2
2018-01-06 14:00:00,159.22
2018-01-06 15:00:00,152.74
2018-01-06 16:00:00,153.95
2018-01-06 17:00:00,169.87
2018-01-06 18:00:00,177.77
2018-01-06 19:00:00,175.02
2018-01-06 20:00:00,170.79
2018-01-06 21:00:00,150.41
2018-01-06 22:00:00,145.6
2018-01-06 23:00:00,142.45
2018-01-07 00:00:00,134.06
2018-01-07 01:00:00,122.9
2018-01-07 02:00:00,118.7
2018-01-07 03:00:00,118.88
2018-01-07 04:00:00,118.03
2018-01-07 05:00:00,118.05
2018-01-07 06:00:00,118.09
2018-01-07 07:00:00,122.42
2018-01-07 08:00:00,124.55
2018-01-07 09:00:00,127.62
2018-01-07 10:00:00,135.59
2018-01-07 11:00:00,135.55
2018-01-07 12:00:00,143.15
2018-01-07 13:00:00,143.89
2018-01-07 14:00:00,144.51
2018-01-07 15:00:00,143.89
2018-01-07 16:00:00,144.94
2018-01-07 17:00:00,149.3
2018-01-07 18:00:00,156.03
2018-01-07 19:00:00,160.41
2018-01-07 20:00:00,160.86
2018-01-07 21:00:00,153.36
2018-01-07 22:00:00,145.24
2018-01-07 23:00:00,131.85
2018-01-08 00:00:00,122.9
2018-01-08 01:00:00,119.49
2018-01-08 02:00:00,118.36
2018-01-08 03:00:00,118.42
2018-01-08 04:00:00,118.32
2018-01-08 05:00:00,118.5
2018-01-08 06:00:00,132.66
2018-01-08 07:00:00,151.56
2018-01-08 08:00:00,177.52
2018-01-08 09:00:00,201.57
2018-01-08 10:00:00,209.73
2018-01-08 11:00:00,213.09
2018-01-08 12:00:00,221.07
2018-01-08 13:00:00,223.67
2018-01-08 14:00:00,223.92
2018-01-08 15:00:00,201.55
2018-01-08 16:00:00,199.32
2018-01-08 17:00:00,228.81
2018-01-08 18:00:00,218.51
2018-01-08 19:00:00,196.36
2018-01-08 20:00:00,185.03
2018-01-08 21:00:00,173.5
2018-01-08 22:00:00,159.88
2018-01-08 23:00:00,142.27
2018-01-09 00:00:00,126.27
2018-01-09 01:00:00,122.78
2018-01-09 02:00:00,117.71
2018-01-09 03:00:00,117.7
2018-01-09 04:00:00,115.86
2018-01-09 05:00:00,117.75
2018-01-09 06:00:00,124.62
2018-01-09 07:00:00,147.0
2018-01-09 08:00:00,157.91
2018-01-09 09:00:00,160.41
2018-01-09 10:00:00,163.53
2018-01-09 11:00:00,161.74
2018-01-09 12:00:00,165.46
2018-01-09 13:00:00,166.88
2018-01-09 14:00:00,165.96
2018-01-09 15:00:00,160.87
2018-01-09 16:00:00,164.31
2018-01-09 17:00:00,170.67
2018-01-09 18:00:00,171.31
2018-01-09 19:00:00,168.81
2018-01-09 20:00:00,167.15
2018-01-09 21:00:00,164.81
2018-01-09 22:00:00,154.17
2018-01-09 23:00:00,148.33
2018-01-10 00:00:00,137.41
2018-01-10 01:00:00,118.09
2018-01-10 02:00:00,115.49
2018-01-10 03:00:00,115.19
2018-01-10 04:00:00,115.09
2018-01-10 05:00:00,117.72
2018-01-10 06:00:00,130.87
2018-01-10 07:00:00,158.16
2018-01-10 08:00:00,176.67
2018-01-10 09:00:00,201.9
2018-01-10 10:00:00,205.15
2018-01-10 11:00:00,206.06
2018-01-10 12:00:00,216.63
2018-01-10 13:00:00,220.86
2018-01-10 14:00:00,233.55
2018-01-10 15:00:00,220.21
2018-01-10 16:00:00,226.45
2018-01-10 17:00:00,309.89
2018-01-10 18:00:00,286.15
2018-01-10 19:00:00,258.65
2018-01-10 20:00:00,242.49
2018-01-10 21:00:00,218.11
2018-01-10 22:00:00,177.61
2018-01-10 23:00:00,175.95
2018-01-11 00:00:00,155.74
2018-01-11 01:00:00,138.29
2018-01-11 02:00:00,138.26
2018-01-11 03:00:00,134.45
2018-01-11 04:00:00,129.61
2018-01-11 05:00:00,130.24
2018-01-11 06:00:00,141.49
2018-01-11 07:00:00,170.02
2018-01-11 08:00:00,212.75
2018-01-11 09:00:00,228.05
2018-01-11 10:00:00,234.23
2018-01-11 11:00:00,239.9
2018-01-11 12:00:00,252.53
2018-01-11 13:00:00,263.54
2018-01-11 14:00:00,251.62
2018-01-11 15:00:00,232.11
2018-01-11 16:00:00,232.19
2018-01-11 17:00:00,417.34
2018-01-11 18:00:00,392.6
2018-01-11 19:00:00,258.15
2018-01-11 20:00:00,238.57
2018-01-11 21:00:00,204.76
2018-01-11 22:00:00,173.21
2018-01-11 23:00:00,162.46
2018-01-12 00:00:00,145.52
2018-01-12 01:00:00,141.96
2018-01-12 02:00:00,142.76
2018-01-12 03:00:00,136.18
2018-01-12 04:00:00,135.79
2018-01-12 05:00:00,135.79
2018-01-12 06:00:00,142.32
2018-01-12 07:00:00,173.18
2018-01-12 08:00:00,205.24
2018-01-12 09:00:00,225.24
2018-01-12 10:00:00,230.65
2018-01-12 11:00:00,226.59
2018-01-12 12:00:00,234.62
2018-01-12 13:00:00,237.91
2018-01-12 14:00:00,228.65
2018-01-12 15:00:00,209.88
2018-01-12 16:00:00,209.07
2018-01-12 17:00:00,257.18
2018-01-12 18:00:00,236.66
2018-01-12 19:00:00,214.37
2018-01-12 20:00:00,198.21
2018-01-12 21:00:00,183.59
2018-01-12 22:00:00,167.07
2018-01-12 23:00:00,145.97
2018-01-13 00:00:00,142.78
2018-01-13 01:00:00,140.75
2018-01-13 02:00:00,132.07
2018-01-13 03:00:00,126.67
2018-01-13 04:00:00,125.99
2018-01-13 05:00:00,125.6
2018-01-13 06:00:00,128.84
2018-01-13 07:00:00,135.84
2018-01-13 08:00:00,144.46
2018-01-13 09:00:00,144.52
2018-01-13 10:00:00,161.45
2018-01-13 11:00:00,165.05
2018-01-13 12:00:00,169.06
2018-01-13 13:00:00,167.34
2018-01-13 14:00:00,162.66
2018-01-13 15:00:00,152.65
2018-01-13 16:00:00,159.53
2018-01-13 17:00:00,171.18
2018-01-13 18:00:00,174.68
2018-01-13 19:00:00,170.99
2018-01-13 20:00:00,163.75
2018-01-13 21:00:00,147.06
2018-01-13 22:00:00,139.33
2018-01-13 23:00:00,133.28
2018-01-14 00:00:00,124.93
2018-01-14 01:00:00,118.4
2018-01-14 02:00:00,118.17
2018-01-14 03:00:00,115.41
2018-01-14 04:00:00,115.47
2018-01-14 05:00:00,115.4
2018-01-14 06:00:00,118.0
2018-01-14 07:00:00,120.58
2018-01-14 08:00:00,124.35
