TIME,HOLIDAY
2018-01-01,Nowy Rok
2018-04-01,Niedziela Wielkanocna
2018-04-02,Poniedziałek Wielkanocny
2018-05-01,Święto Pracy
2018-05-03,Święto Konstytucji 3 Maja
2018-05-20,Zielone Świątki
2018-06-03,Zesłanie Ducha Świętego (Zielone Świątki)
2018-08-15,Wniebowzięcie Najświętszej Maryi Panny
2018-11-01,Wszystkich Świętych
2018-11-11,Święto Niepodległości
2018-12-25,Boże Narodzenie (pierwszy dzień)
2018-12-26,Boże Narodzenie (drugi dzień)
2019-01-01,Nowy Rok
2019-04-21,Niedziela Wielkanocna
2019-04-22,Poniedziałek Wielkanocny
2019-05-01,Święto Pracy
2019-05-03,Święto Konstytucji 3 Maja
2019-06-09,Zielone Świątki
2019-06-20,Boże Ciało
2019-08-15,Wniebowzięcie Najświętszej Maryi Panny
2019-11-01,Wszystkich Świętych
2019-11-11,Święto Niepodległości
2019-12-25,Boże Narodzenie (pierwszy dzień)
2019-12-26,Boże Narodzenie (drugi dzień)
2020-01-01,Nowy Rok
2020-04-12,Niedziela Wielkanocna
2020-04-13,Poniedziałek Wielkanocny
2020-05-01,Święto Pracy
2020-05-03,Święto Konstytucji 3 Maja
2020-05-31,Zielone Świątki
2020-06-11,Boże Ciało
2020-08-15,Wniebowzięcie Najświętszej Maryi Panny
2020-11-01,Wszystkich Świętych
2020-11-11,Święto Niepodległości
2020-12-25,Boże Narodzenie (pierwszy dzień)
2020-12-26,Boże Narodzenie (drugi dzień)
2021-01-01,Nowy Rok
2021-04-04,Niedziela Wielkanocna
2021-04-05,Poniedziałek Wielkanocny
2021-05-01,Święto Pracy
2021-05-03,Święto Konstytucji 3 Maja
2021-05-23,Zielone Świątki
2021-06-03,Boże Ciało
2021-08-15,Wniebowzięcie Najświętszej Maryi Panny
2021-11-01,Wszystkich Świętych
2021-11-11,Narodowe Święto Niepodległości
2021-12-25,Pierwszy dzień Bożego Narodzenia
2021-12-26,Drugi dzień Bożego Narodzenia
2022-01-01,Nowy Rok
2022-04-17,Niedziela Wielkanocna
2022-04-18,Poniedziałek Wielkanocny
2022-05-01,Święto Pracy
2022-05-03,Święto Konstytucji 3 Maja
2022-06-05,Zielone Świątki
2022-06-16,Boże Ciało
2022-08-15,Wniebowzięcie Najświętszej Maryi Panny
2022-11-01,Wszystkich Świętych
2022-11-11,Narodowe Święto Niepodległości
2022-12-25,Pierwszy dzień Bożego Narodzenia
2022-12-26,Drugi dzień Bożego Narodzenia
2023-01-01,Nowy Rok
2023-04-09,Niedziela Wielkanocna
2023-04-10,Poniedziałek Wielkanocny
2023-05-01,Święto Pracy
2023-05-03,Święto Konstytucji 3 Maja
2023-05-28,Zielone Świątki
2023-06-08,Boże Ciało
2023-08-15,Wniebowzięcie Najświętszej Maryi Panny
2023-11-01,Wszystkich Świętych
2023-11-11,Narodowe Święto Niepodległości
2023-12-25,Pierwszy dzień Bożego Narodzenia
2023-12-26,Drugi dzień Bożego Narodzenia
