Data;Godzina;COR;CRO;CROs;CROz
20190101;1;-;200,00;200,00;200,00
20190101;2;-;70,02;70,02;70,02
20190101;3;-;65,00;65,00;65,00
20190101;4;-;60,00;60,00;60,00
20190101;5;-;60,00;60,00;60,00
20190101;6;-;60,00;60,00;60,00
20190101;7;-;60,00;60,00;60,00
20190101;8;-;55,00;55,00;55,00
20190101;9;-;55,00;55,00;55,00
20190101;10;-;60,00;60,00;60,00
20190101;11;-;70,00;70,00;70,00
20190101;12;-;70,01;70,01;70,01
20190101;13;-;186,36;186,36;186,36
20190101;14;-;197,80;197,80;197,80
20190101;15;-;200,00;200,00;200,00
20190101;16;-;197,80;197,80;197,80
20190101;17;-;200,00;200,00;200,00
20190101;18;-;200,00;200,00;200,00
20190101;19;-;200,00;200,00;200,00
20190101;20;-;200,00;200,00;200,00
20190101;21;-;200,00;200,00;200,00
20190101;22;-;200,00;200,00;200,00
20190101;23;-;186,36;186,36;186,36
20190101;24;-;70,00;70,00;70,00
20190102;1;-;35,00;35,00;35,00
20190102;2;-;31,00;31,00;31,00
20190102;3;-;31,00;31,00;31,00
20190102;4;-;31,00;31,00;31,00
20190102;5;-;31,00;31,00;31,00
20190102;6;-;70,00;70,00;70,00
20190102;7;-;234,00;234,00;234,00
20190102;8;18,06;279,38;279,38;279,38
20190102;9;20,84;285,76;285,76;285,76
20190102;10;23,05;303,51;303,51;303,51
20190102;11;20,20;285,92;285,92;285,92
20190102;12;20,74;294,18;294,18;294,18
20190102;13;21,16;295,46;295,46;295,46
20190102;14;21,95;304,78;304,78;304,78
20190102;15;21,97;295,09;295,09;295,09
20190102;16;22,24;303,89;303,89;303,89
20190102;17;23,18;309,27;309,27;309,27
20190102;18;23,40;299,37;299,37;299,37
20190102;19;23,43;290,22;290,22;290,22
20190102;20;23,22;289,08;289,08;289,08
20190102;21;22,53;286,38;286,38;286,38
20190102;22;22,26;285,76;285,76;285,76
20190102;23;-;265,93;265,93;265,93
20190102;24;-;213,52;213,52;213,52
20190103;1;-;200,00;200,00;200,00
20190103;2;-;199,49;199,49;199,49
20190103;3;-;200,00;200,00;200,00
20190103;4;-;195,29;195,29;195,29
20190103;5;-;200,00;200,00;200,00
20190103;6;-;202,85;202,85;202,85
20190103;7;-;259,90;259,90;259,90
20190103;8;21,96;269,01;269,01;269,01
20190103;9;23,35;285,76;285,76;285,76
20190103;10;25,11;285,76;285,76;285,76
20190103;11;25,01;290,91;290,91;290,91
20190103;12;26,00;285,76;285,76;285,76
20190103;13;24,74;275,27;275,27;275,27
20190103;14;25,05;279,52;279,52;279,52
20190103;15;25,74;285,76;285,76;285,76
20190103;16;24,45;291,10;291,10;291,10
20190103;17;26,68;294,92;294,92;294,92
20190103;18;27,97;301,24;301,24;301,24
20190103;19;26,72;286,51;286,51;286,51
20190103;20;26,20;279,30;279,30;279,30
20190103;21;24,28;268,45;268,45;268,45
20190103;22;21,58;267,59;267,59;267,59
20190103;23;-;272,16;272,16;272,16
20190103;24;-;259,88;259,88;259,88
20190104;1;-;237,32;237,32;237,32
20190104;2;-;237,46;237,46;237,46
20190104;3;-;233,70;233,70;233,70
20190104;4;-;232,89;232,89;232,89
20190104;5;-;224,83;224,83;224,83
20190104;6;-;224,95;224,95;224,95
20190104;7;-;257,44;257,44;257,44
20190104;8;23,53;299,37;299,37;299,37
20190104;9;23,91;313,70;313,70;313,70
20190104;10;26,26;285,76;285,76;285,76
20190104;11;25,43;285,76;285,76;285,76
20190104;12;27,17;285,76;285,76;285,76
20190104;13;27,40;285,76;285,76;285,76
20190104;14;28,98;313,70;313,70;313,70
20190104;15;27,65;313,73;313,73;313,73
20190104;16;27,05;313,70;313,70;313,70
20190104;17;29,37;285,76;285,76;285,76
20190104;18;29,24;285,76;285,76;285,76
20190104;19;26,76;285,76;285,76;285,76
20190104;20;25,33;285,76;285,76;285,76
20190104;21;22,33;285,76;285,76;285,76
20190104;22;21,42;232,89;232,89;232,89
20190104;23;-;231,89;231,89;231,89
20190104;24;-;233,70;233,70;233,70
20190105;1;-;196,91;196,91;196,91
20190105;2;-;223,10;223,10;223,10
20190105;3;-;223,10;223,10;223,10
20190105;4;-;213,60;213,60;213,60
20190105;5;-;185,91;185,91;185,91
20190105;6;-;185,91;185,91;185,91
20190105;7;-;189,00;189,00;189,00
20190105;8;-;198,12;198,12;198,12
20190105;9;-;189,00;189,00;189,00
20190105;10;-;222,00;222,00;222,00
20190105;11;-;235,20;235,20;235,20
20190105;12;-;222,00;222,00;222,00
20190105;13;-;222,00;222,00;222,00
20190105;14;-;222,00;222,00;222,00
20190105;15;-;198,12;198,12;198,12
20190105;16;-;197,91;197,91;197,91
20190105;17;-;222,00;222,00;222,00
20190105;18;-;222,00;222,00;222,00
20190105;19;-;210,91;210,91;210,91
20190105;20;-;210,91;210,91;210,91
20190105;21;-;197,15;197,15;197,15
20190105;22;-;197,91;197,91;197,91
20190105;23;-;200,91;200,91;200,91
20190105;24;-;222,00;222,00;222,00
20190106;1;-;207,20;207,20;207,20
20190106;2;-;207,20;207,20;207,20
20190106;3;-;207,20;207,20;207,20
20190106;4;-;207,20;207,20;207,20
20190106;5;-;180,91;180,91;180,91
20190106;6;-;180,91;180,91;180,91
20190106;7;-;74,24;74,24;74,24
20190106;8;-;100,89;100,89;100,89
20190106;9;-;188,91;188,91;188,91
20190106;10;-;250,91;250,91;250,91
20190106;11;-;254,10;254,10;254,10
20190106;12;-;256,46;256,46;256,46
20190106;13;-;256,46;256,46;256,46
20190106;14;-;256,46;256,46;256,46
20190106;15;-;256,46;256,46;256,46
20190106;16;-;256,46;256,46;256,46
20190106;17;-;256,46;256,46;256,46
20190106;18;-;269,27;269,27;269,27
20190106;19;-;269,27;269,27;269,27
20190106;20;-;262,44;262,44;262,44
20190106;21;-;267,87;267,87;267,87
20190106;22;-;259,54;259,54;259,54
20190106;23;-;262,44;262,44;262,44
20190106;24;-;259,54;259,54;259,54
20190107;1;-;219,36;219,36;219,36
20190107;2;-;219,36;219,36;219,36
20190107;3;-;219,12;219,12;219,12
20190107;4;-;219,12;219,12;219,12
20190107;5;-;203,70;203,70;203,70
20190107;6;-;216,00;216,00;216,00
20190107;7;-;260,00;260,00;260,00
20190107;8;32,13;310,60;310,60;310,60
20190107;9;38,59;310,70;310,70;310,70
20190107;10;38,96;310,60;310,60;310,60
20190107;11;40,56;285,00;285,00;285,00
20190107;12;43,73;317,64;317,64;317,64
20190107;13;40,05;310,60;310,60;310,60
20190107;14;39,88;310,71;310,71;310,71
20190107;15;36,79;310,60;310,60;310,60
20190107;16;33,04;310,30;310,30;310,30
20190107;17;32,66;310,70;310,70;310,70
20190107;18;33,89;310,60;310,60;310,60
20190107;19;31,22;284,02;284,02;284,02
20190107;20;28,41;297,89;297,89;297,89
20190107;21;24,43;299,37;299,37;299,37
20190107;22;21,16;284,02;284,02;284,02
20190107;23;-;232,13;232,13;232,13
20190107;24;-;228,39;228,39;228,39
20190108;1;-;233,54;233,54;233,54
20190108;2;-;231,00;231,00;231,00
20190108;3;-;223,89;223,89;223,89
20190108;4;-;220,55;220,55;220,55
20190108;5;-;223,89;223,89;223,89
20190108;6;-;239,73;239,73;239,73
20190108;7;-;265,78;265,78;265,78
20190108;8;25,91;309,39;309,39;309,39
20190108;9;29,15;319,25;319,25;319,25
20190108;10;33,94;330,70;330,70;330,70
20190108;11;34,88;330,70;330,70;330,70
20190108;12;37,13;337,51;337,51;337,51
20190108;13;41,10;355,21;355,21;355,21
20190108;14;43,73;414,40;414,40;414,40
20190108;15;43,58;330,70;330,70;330,70
20190108;16;40,18;319,25;319,25;319,25
20190108;17;41,42;312,33;312,33;312,33
20190108;18;41,95;319,25;319,25;319,25
20190108;19;36,53;312,33;312,33;312,33
20190108;20;34,90;319,25;319,25;319,25
20190108;21;31,07;312,30;312,30;312,30
20190108;22;22,63;285,89;285,89;285,89
20190108;23;-;255,89;255,89;255,89
20190108;24;-;256,03;256,03;256,03
20190109;1;-;224,89;224,89;224,89
20190109;2;-;224,89;224,89;224,89
20190109;3;-;224,89;224,89;224,89
20190109;4;-;224,89;224,89;224,89
20190109;5;-;219,29;219,29;219,29
