Data;Godzina;CRO;CROs;CROz
20221201;1;828,78;828,78;828,78
20221201;2;815,32;815,32;815,32
20221201;3;815,32;815,32;815,32
20221201;4;815,32;815,32;815,32
20221201;5;828,78;828,78;828,78
20221201;6;838,04;838,04;838,04
20221201;7;871,35;871,35;871,35
20221201;8;856,26;856,26;856,26
20221201;9;885,87;885,87;885,87
20221201;10;928,42;928,42;928,42
20221201;11;895,52;895,52;895,52
20221201;12;935,48;935,48;935,48
20221201;13;935,48;935,48;935,48
20221201;14;930,83;930,83;930,83
20221201;15;929,63;929,63;929,63
20221201;16;900,57;900,57;900,57
20221201;17;929,02;929,02;929,02
20221201;18;900,57;900,57;900,57
20221201;19;871,35;871,35;871,35
20221201;20;857,28;857,28;857,28
20221201;21;842,52;842,52;842,52
20221201;22;816,54;816,54;816,54
20221201;23;814,32;814,32;814,32
20221201;24;784,24;784,24;784,24
20221202;1;850,97;850,97;850,97
20221202;2;843,48;843,48;843,48
20221202;3;850,97;850,97;850,97
20221202;4;842,45;842,45;842,45
20221202;5;839,04;839,04;839,04
20221202;6;852,81;852,81;852,81
20221202;7;870,28;870,28;870,28
20221202;8;900,57;900,57;900,57
20221202;9;1084,82;1084,82;1084,82
20221202;10;1236,10;1236,10;1236,10
20221202;11;1236,50;1236,50;1236,50
20221202;12;1237,10;1237,10;1237,10
20221202;13;1236,59;1236,59;1236,59
20221202;14;1236,10;1236,10;1236,10
20221202;15;1109,17;1109,17;1109,17
20221202;16;1219,63;1219,63;1219,63
20221202;17;1235,53;1235,53;1235,53
20221202;18;1081,92;1081,92;1081,92
20221202;19;992,49;992,49;992,49
20221202;20;898,78;898,78;898,78
20221202;21;871,45;871,45;871,45
20221202;22;850,97;850,97;850,97
20221202;23;854,67;854,67;854,67
20221202;24;839,19;839,19;839,19
20221203;1;875,63;875,63;875,63
20221203;2;834,83;834,83;834,83
20221203;3;853,22;853,22;853,22
20221203;4;853,22;853,22;853,22
20221203;5;834,83;834,83;834,83
20221203;6;827,87;827,87;827,87
20221203;7;826,27;826,27;826,27
20221203;8;815,96;815,96;815,96
20221203;9;875,64;875,64;875,64
20221203;10;1110,23;1110,23;1110,23
20221203;11;1242,95;1242,95;1242,95
20221203;12;1243,48;1243,48;1243,48
20221203;13;1242,88;1242,88;1242,88
20221203;14;1227,58;1227,58;1227,58
20221203;15;977,21;977,21;977,21
20221203;16;1041,76;1041,76;1041,76
20221203;17;971,00;971,00;971,00
20221203;18;922,82;922,82;922,82
20221203;19;902,66;902,66;902,66
20221203;20;902,66;902,66;902,66
20221203;21;838,65;838,65;838,65
20221203;22;805,75;805,75;805,75
20221203;23;826,27;826,27;826,27
20221203;24;775,45;775,45;775,45
20221204;1;826,04;826,04;826,04
20221204;2;774,30;774,30;774,30
20221204;3;676,03;676,03;676,03
20221204;4;559,15;559,15;559,15
20221204;5;587,47;587,47;587,47
20221204;6;668,13;668,13;668,13
20221204;7;746,02;746,02;746,02
20221204;8;527,38;527,38;527,38
20221204;9;792,98;792,98;792,98
20221204;10;805,90;805,90;805,90
20221204;11;808,45;808,45;808,45
20221204;12;826,05;826,05;826,05
20221204;13;834,43;834,43;834,43
20221204;14;800,18;800,18;800,18
20221204;15;804,76;804,76;804,76
20221204;16;805,90;805,90;805,90
20221204;17;795,94;795,94;795,94
20221204;18;774,32;774,32;774,32
20221204;19;792,98;792,98;792,98
20221204;20;801,73;801,73;801,73
20221204;21;795,94;795,94;795,94
20221204;22;774,31;774,31;774,31
20221204;23;780,89;780,89;780,89
20221204;24;509,06;509,06;509,06
20221205;1;783,90;783,90;783,90
20221205;2;527,82;527,82;527,82
20221205;3;491,26;491,26;491,26
20221205;4;491,26;491,26;491,26
20221205;5;525,89;525,89;525,89
20221205;6;570,06;570,06;570,06
20221205;7;794,45;794,45;794,45
20221205;8;794,45;794,45;794,45
20221205;9;806,25;806,25;806,25
20221205;10;818,66;818,66;818,66
20221205;11;818,67;818,67;818,67
20221205;12;870,47;870,47;870,47
20221205;13;900,14;900,14;900,14
20221205;14;911,38;911,38;911,38
20221205;15;911,38;911,38;911,38
20221205;16;928,19;928,19;928,19
20221205;17;928,19;928,19;928,19
20221205;18;929,82;929,82;929,82
20221205;19;1007,75;1007,75;1007,75
20221205;20;929,82;929,82;929,82
20221205;21;900,13;900,13;900,13
20221205;22;848,93;848,93;848,93
20221205;23;870,47;870,47;870,47
20221205;24;818,66;818,66;818,66
20221206;1;840,13;840,13;840,13
20221206;2;847,21;847,21;847,21
20221206;3;858,35;858,35;858,35
20221206;4;840,13;840,13;840,13
20221206;5;838,43;838,43;838,43
20221206;6;840,13;840,13;840,13
20221206;7;902,54;902,54;902,54
20221206;8;896,08;896,08;896,08
20221206;9;1037,33;1037,33;1037,33
20221206;10;1265,57;1265,57;1265,57
20221206;11;1032,21;1032,21;1032,21
20221206;12;1032,20;1032,20;1032,20
20221206;13;1027,78;1027,78;1027,78
20221206;14;1265,57;1265,57;1265,57
20221206;15;1265,55;1265,55;1265,55
20221206;16;1011,83;1011,83;1011,83
20221206;17;1011,83;1011,83;1011,83
20221206;18;874,03;874,03;874,03
20221206;19;872,32;872,32;872,32
20221206;20;874,03;874,03;874,03
20221206;21;838,43;838,43;838,43
20221206;22;818,50;818,50;818,50
20221206;23;847,21;847,21;847,21
20221206;24;802,70;802,70;802,70
20221207;1;808,89;808,89;808,89
20221207;2;828,50;828,50;828,50
20221207;3;843,39;843,39;843,39
20221207;4;828,50;828,50;828,50
20221207;5;813,13;813,13;813,13
20221207;6;798,99;798,99;798,99
20221207;7;843,39;843,39;843,39
20221207;8;843,39;843,39;843,39
20221207;9;907,14;907,14;907,14
20221207;10;908,82;908,82;908,82
20221207;11;875,50;875,50;875,50
20221207;12;870,48;870,48;870,48
20221207;13;870,48;870,48;870,48
20221207;14;870,48;870,48;870,48
20221207;15;843,39;843,39;843,39
20221207;16;843,39;843,39;843,39
20221207;17;870,48;870,48;870,48
20221207;18;846,24;846,24;846,24
20221207;19;843,39;843,39;843,39
20221207;20;818,07;818,07;818,07
20221207;21;792,50;792,50;792,50
20221207;22;787,70;787,70;787,70
20221207;23;835,62;835,62;835,62
20221207;24;828,50;828,50;828,50
20221208;1;821,76;821,76;821,76
20221208;2;837,31;837,31;837,31
20221208;3;842,70;842,70;842,70
20221208;4;842,70;842,70;842,70
20221208;5;844,94;844,94;844,94
20221208;6;849,89;849,89;849,89
20221208;7;858,03;858,03;858,03
20221208;8;876,05;876,05;876,05
20221208;9;889,20;889,20;889,20
20221208;10;869,77;869,77;869,77
20221208;11;842,70;842,70;842,70
20221208;12;865,24;865,24;865,24
20221208;13;874,99;874,99;874,99
20221208;14;874,99;874,99;874,99
20221208;15;869,78;869,78;869,78
20221208;16;876,05;876,05;876,05
20221208;17;876,05;876,05;876,05
20221208;18;874,99;874,99;874,99
20221208;19;869,77;869,77;869,77
20221208;20;865,24;865,24;865,24
20221208;21;865,24;865,24;865,24
20221208;22;844,94;844,94;844,94
20221208;23;876,05;876,05;876,05
20221208;24;858,04;858,04;858,04
20221209;1;846,80;846,80;846,80
20221209;2;874,01;874,01;874,01
20221209;3;889,90;889,90;889,90
20221209;4;874,01;874,01;874,01
20221209;5;874,01;874,01;874,01
20221209;6;904,24;904,24;904,24
20221209;7;1007,55;1007,55;1007,55
20221209;8;1043,00;1043,00;1043,00
20221209;9;1315,97;1315,97;1315,97
20221209;10;1296,02;1296,02;1296,02
20221209;11;1043,00;1043,00;1043,00
20221209;12;959,42;959,42;959,42
20221209;13;959,42;959,42;959,42
20221209;14;1043,10;1043,10;1043,10
20221209;15;959,42;959,42;959,42
20221209;16;1102,20;1102,20;1102,20
20221209;17;1294,95;1294,95;1294,95
20221209;18;1295,98;1295,98;1295,98
20221209;19;1110,51;1110,51;1110,51
20221209;20;1038,83;1038,83;1038,83
20221209;21;934,40;934,40;934,40
