Data;Godzina;COR;CRO;CROs;CROz
20180901;1;-;249,65;249,65;249,65
20180901;2;-;250,26;250,26;250,26
20180901;3;-;250,26;250,26;250,26
20180901;4;-;249,65;249,65;249,65
20180901;5;-;249,65;249,65;249,65
20180901;6;-;249,65;249,65;249,65
20180901;7;-;250,26;250,26;250,26
20180901;8;-;253,70;253,70;253,70
20180901;9;-;270,00;270,00;270,00
20180901;10;-;270,00;270,00;270,00
20180901;11;-;270,00;270,00;270,00
20180901;12;-;253,70;253,70;253,70
20180901;13;-;253,02;253,02;253,02
20180901;14;-;253,02;253,02;253,02
20180901;15;-;249,65;249,65;249,65
20180901;16;-;210,89;210,89;210,89
20180901;17;-;249,65;249,65;249,65
20180901;18;-;249,65;249,65;249,65
20180901;19;-;253,02;253,02;253,02
20180901;20;-;253,02;253,02;253,02
20180901;21;-;253,02;253,02;253,02
20180901;22;-;249,65;249,65;249,65
20180901;23;-;207,89;207,89;207,89
20180901;24;-;207,89;207,89;207,89
20180902;1;-;200,26;200,26;200,26
20180902;2;-;200,26;200,26;200,26
20180902;3;-;200,00;200,00;200,00
20180902;4;-;199,89;199,89;199,89
20180902;5;-;181,91;181,91;181,91
20180902;6;-;181,91;181,91;181,91
20180902;7;-;179,82;179,82;179,82
20180902;8;-;200,00;200,00;200,00
20180902;9;-;200,26;200,26;200,26
20180902;10;-;230,91;230,91;230,91
20180902;11;-;249,65;249,65;249,65
20180902;12;-;250,79;250,79;250,79
20180902;13;-;253,52;253,52;253,52
20180902;14;-;253,13;253,13;253,13
20180902;15;-;249,65;249,65;249,65
20180902;16;-;207,89;207,89;207,89
20180902;17;-;249,65;249,65;249,65
20180902;18;-;250,76;250,76;250,76
20180902;19;-;252,11;252,11;252,11
20180902;20;-;260,14;260,14;260,14
20180902;21;-;305,00;305,00;305,00
20180902;22;-;250,79;250,79;250,79
20180902;23;-;248,29;248,29;248,29
20180902;24;-;200,26;200,26;200,26
20180903;1;-;199,00;199,00;199,00
20180903;2;-;199,89;199,89;199,89
20180903;3;-;199,89;199,89;199,89
20180903;4;-;200,00;200,00;200,00
20180903;5;-;200,00;200,00;200,00
20180903;6;-;218,60;218,60;218,60
20180903;7;-;253,28;253,28;253,28
20180903;8;36,10;298,58;298,58;298,58
20180903;9;42,58;312,00;312,00;312,00
20180903;10;42,58;347,00;347,00;347,00
20180903;11;42,58;403,02;403,02;403,02
20180903;12;42,58;428,91;428,91;428,91
20180903;13;42,58;400,01;400,01;400,01
20180903;14;42,58;380,00;380,00;380,00
20180903;15;42,58;389,00;389,00;389,00
20180903;16;42,58;403,64;403,64;403,64
20180903;17;42,58;396,18;396,18;396,18
20180903;18;42,58;382,00;382,00;382,00
20180903;19;40,72;306,00;306,00;306,00
20180903;20;38,98;360,60;360,60;360,60
20180903;21;41,43;375,13;375,13;375,13
20180903;22;33,38;298,30;298,30;298,30
20180903;23;-;249,38;249,38;249,38
20180903;24;-;225,28;225,28;225,28
20180904;1;-;220,00;220,00;220,00
20180904;2;-;208,89;208,89;208,89
20180904;3;-;220,00;220,00;220,00
20180904;4;-;222,69;222,69;222,69
20180904;5;-;231,89;231,89;231,89
20180904;6;-;249,65;249,65;249,65
20180904;7;-;253,70;253,70;253,70
20180904;8;38,95;295,84;295,84;295,84
20180904;9;41,10;295,81;295,81;295,81
20180904;10;42,58;310,00;310,00;310,00
20180904;11;42,58;360,40;360,40;360,40
20180904;12;42,58;360,60;360,60;360,60
20180904;13;42,58;349,00;349,00;349,00
20180904;14;42,58;349,00;349,00;349,00
20180904;15;42,58;349,00;349,00;349,00
20180904;16;42,58;349,00;349,00;349,00
20180904;17;42,58;349,00;349,00;349,00
20180904;18;42,58;310,00;310,00;310,00
20180904;19;42,58;310,00;310,00;310,00
20180904;20;42,58;349,00;349,00;349,00
20180904;21;42,58;349,00;349,00;349,00
20180904;22;39,50;295,84;295,84;295,84
20180904;23;-;253,70;253,70;253,70
20180904;24;-;252,12;252,12;252,12
20180905;1;-;250,62;250,62;250,62
20180905;2;-;253,70;253,70;253,70
20180905;3;-;253,36;253,36;253,36
20180905;4;-;253,39;253,39;253,39
20180905;5;-;253,70;253,70;253,70
20180905;6;-;260,89;260,89;260,89
20180905;7;-;357,10;357,10;357,10
20180905;8;42,58;592,40;592,40;592,40
20180905;9;42,58;626,52;626,52;626,52
20180905;10;42,58;561,54;561,54;561,54
20180905;11;42,58;555,42;555,42;555,42
20180905;12;42,58;425,30;425,30;425,30
20180905;13;42,58;360,60;360,60;360,60
20180905;14;42,58;360,60;360,60;360,60
20180905;15;42,58;380,00;380,00;380,00
20180905;16;42,58;400,20;400,20;400,20
20180905;17;42,58;360,60;360,60;360,60
20180905;18;42,58;360,40;360,40;360,40
20180905;19;42,58;350,00;350,00;350,00
20180905;20;42,58;350,00;350,00;350,00
20180905;21;42,58;458,37;458,37;458,37
20180905;22;42,58;400,20;400,20;400,20
20180905;23;-;313,31;313,31;313,31
20180905;24;-;280,89;280,89;280,89
20180906;1;-;246,72;246,72;246,72
20180906;2;-;246,72;246,72;246,72
20180906;3;-;224,08;224,08;224,08
