Time,Kierunek wiatru,Opad atmosferyczny,Podmuchy wiatru,Pogoda,Prędkość wiatru,Siła wiatru,Temperatura,Widoczność,Wilgotność,Zachmurzenie
2019-04-29 00:00:00,NW,0.0,19.8,Pochmurno,14.0,321.0,9.7,10.0,97.0,94.0
2019-04-29 01:00:00,NW,0.0,19.3,Pochmurno,13.6,325.0,9.7,7.3,97.0,87.0
2019-04-29 02:00:00,NNW,0.0,18.8,Mgła,13.1,329.0,9.6,4.7,97.0,79.0
2019-04-29 03:00:00,NNW,0.0,18.4,Mgła,12.6,334.0,9.6,2.0,97.0,71.0
2019-04-29 04:00:00,W,0.0,19.1,Mgła,13.3,274.0,11.0,4.7,93.0,63.0
2019-04-29 05:00:00,SW,0.0,19.8,Częściowe zachmurzenie,14.0,215.0,12.5,7.3,88.0,54.0
2019-04-29 06:00:00,SSE,0.0,20.5,Częściowe zachmurzenie,14.8,156.0,13.9,10.0,84.0,45.0
2019-04-29 07:00:00,SE,0.0,21.8,Częściowe zachmurzenie,16.2,127.0,15.6,10.0,77.0,46.0
2019-04-29 08:00:00,E,0.0,23.2,Częściowe zachmurzenie,17.6,99.0,17.3,10.0,70.0,46.0
2019-04-29 09:00:00,ENE,0.0,24.5,Częściowe zachmurzenie,19.1,70.0,19.0,10.0,63.0,47.0
2019-04-29 10:00:00,ENE,0.0,25.3,Częściowe zachmurzenie,19.4,71.0,19.4,9.0,62.0,34.0
2019-04-29 11:00:00,ENE,0.9,26.2,Umiarkowany lub ulewny deszcz,19.8,72.0,19.8,8.0,60.0,21.0
2019-04-29 12:00:00,ENE,1.2,27.0,Umiarkowany lub ulewny deszcz,20.2,73.0,20.2,7.0,59.0,8.0
2019-04-29 13:00:00,ENE,0.6,26.5,Umiarkowany lub ulewny deszcz,19.3,76.0,19.6,7.0,62.0,14.0
2019-04-29 14:00:00,ENE,1.5,26.0,Umiarkowany lub ulewny deszcz,18.5,78.0,18.9,7.0,64.0,20.0
2019-04-29 15:00:00,E,2.0,25.6,Umiarkowany lub ulewny deszcz,17.6,80.0,18.3,7.0,67.0,26.0
2019-04-29 16:00:00,E,1.0,25.0,Umiarkowany lub ulewny deszcz,16.9,82.0,16.7,7.0,73.0,28.0
2019-04-29 17:00:00,E,2.0,24.4,Umiarkowany lub ulewny deszcz,16.2,84.0,15.2,7.0,79.0,30.0
2019-04-29 18:00:00,E,2.7,23.8,Umiarkowany lub ulewny deszcz,15.5,87.0,13.6,7.0,84.0,32.0
2019-04-29 19:00:00,E,1.3,22.9,Umiarkowany lub ulewny deszcz,14.6,84.0,12.9,8.0,86.0,28.0
2019-04-29 20:00:00,E,0.0,22.1,Bezchmurnie,13.8,81.0,12.1,9.0,88.0,24.0
2019-04-29 21:00:00,ENE,0.0,21.2,Bezchmurnie,13.0,78.0,11.4,10.0,90.0,20.0
2019-04-29 22:00:00,ENE,0.0,20.9,Bezchmurnie,13.1,71.0,10.9,10.0,91.0,23.0
2019-04-29 23:00:00,ENE,0.0,20.5,Częściowe zachmurzenie,13.2,64.0,10.3,10.0,92.0,26.0
2019-04-30 00:00:00,ENE,0.0,20.2,Częściowe zachmurzenie,13.3,57.0,9.8,10.0,94.0,29.0
2019-04-30 01:00:00,ENE,0.0,20.5,Częściowe zachmurzenie,13.4,56.0,9.4,10.0,94.0,30.0
2019-04-30 02:00:00,NE,0.0,20.9,Częściowe zachmurzenie,13.6,54.0,9.1,10.0,94.0,31.0
2019-04-30 03:00:00,NE,0.0,21.2,Częściowe zachmurzenie,13.7,53.0,8.7,10.0,94.0,32.0
2019-04-30 04:00:00,NE,0.0,20.4,Częściowe zachmurzenie,13.7,55.0,10.1,10.0,90.0,30.0
2019-04-30 05:00:00,ENE,0.0,19.6,Częściowe zachmurzenie,13.7,58.0,11.4,10.0,85.0,28.0
2019-04-30 06:00:00,ENE,0.0,18.7,Częściowe zachmurzenie,13.7,60.0,12.8,10.0,81.0,26.0
2019-04-30 07:00:00,ENE,0.0,18.6,Częściowe zachmurzenie,14.3,62.0,14.1,9.7,73.0,28.0
2019-04-30 08:00:00,ENE,0.1,18.5,Możliwe przelotne deszcze,14.9,63.0,15.5,9.3,66.0,30.0
2019-04-30 09:00:00,ENE,0.1,18.4,Możliwe przelotne deszcze,15.5,65.0,16.8,9.0,58.0,33.0
2019-04-30 10:00:00,ENE,0.0,18.4,Możliwe przelotne deszcze,15.5,63.0,17.2,9.0,55.0,33.0
2019-04-30 11:00:00,ENE,0.2,18.4,Możliwe przelotne deszcze,15.5,60.0,17.7,9.0,53.0,33.0
2019-04-30 12:00:00,ENE,0.2,18.4,Możliwe przelotne deszcze,15.5,58.0,18.1,9.0,50.0,34.0
2019-04-30 13:00:00,NE,0.1,18.6,Możliwe przelotne deszcze,15.4,51.0,17.8,9.3,51.0,40.0
2019-04-30 14:00:00,NE,0.1,18.8,Lekki deszcz,15.2,44.0,17.4,9.7,52.0,45.0
2019-04-30 15:00:00,NE,0.2,19.1,Lekki deszcz,15.1,37.0,17.1,10.0,54.0,51.0
2019-04-30 16:00:00,NE,0.1,19.6,Lekki deszcz,14.5,34.0,15.8,9.7,57.0,44.0
2019-04-30 17:00:00,NNE,0.2,20.0,Możliwe przelotne deszcze,13.9,31.0,14.6,9.3,60.0,38.0
2019-04-30 18:00:00,NNE,0.3,20.5,Możliwe przelotne deszcze,13.3,28.0,13.3,9.0,64.0,31.0
2019-04-30 19:00:00,NE,0.1,18.1,Możliwe przelotne deszcze,11.4,37.0,12.4,9.3,66.0,30.0
2019-04-30 20:00:00,NE,0.0,15.7,Częściowe zachmurzenie,9.5,46.0,11.6,9.7,68.0,28.0
2019-04-30 21:00:00,NE,0.0,13.3,Częściowe zachmurzenie,7.6,55.0,10.7,10.0,70.0,27.0
2019-04-30 22:00:00,ESE,0.0,12.1,Częściowe zachmurzenie,6.8,120.0,10.2,10.0,72.0,28.0
2019-04-30 23:00:00,S,0.0,10.9,Częściowe zachmurzenie,6.1,185.0,9.6,10.0,74.0,30.0
2019-05-01 00:00:00,WSW,0.0,9.7,Częściowe zachmurzenie,5.4,250.0,9.1,10.0,76.0,32.0
2019-05-01 01:00:00,W,0.0,10.0,Częściowe zachmurzenie,5.8,280.0,8.7,10.0,75.0,30.0
2019-05-01 02:00:00,NW,0.0,10.2,Częściowe zachmurzenie,6.1,310.0,8.3,10.0,73.0,29.0
2019-05-01 03:00:00,NNW,0.0,10.4,Częściowe zachmurzenie,6.5,340.0,7.9,10.0,72.0,27.0
2019-05-01 04:00:00,NNW,0.0,10.8,Częściowe zachmurzenie,7.2,339.0,8.9,10.0,69.0,26.0
2019-05-01 05:00:00,NNW,0.0,11.2,Częściowe zachmurzenie,7.9,339.0,9.9,10.0,66.0,26.0
2019-05-01 06:00:00,NNW,0.0,11.5,Częściowe zachmurzenie,8.6,338.0,10.9,10.0,64.0,25.0
2019-05-01 07:00:00,NNW,0.0,13.0,Częściowe zachmurzenie,10.2,335.0,12.3,10.0,60.0,25.0
2019-05-01 08:00:00,NNW,0.0,14.4,Częściowe zachmurzenie,11.8,332.0,13.7,10.0,56.0,25.0
2019-05-01 09:00:00,NNW,0.0,15.8,Częściowe zachmurzenie,13.3,330.0,15.1,10.0,52.0,26.0
2019-05-01 10:00:00,NNW,0.0,17.0,Częściowe zachmurzenie,14.5,326.0,16.1,9.7,48.0,27.0
2019-05-01 11:00:00,NW,0.1,18.2,Możliwe przelotne deszcze,15.7,322.0,17.0,9.3,44.0,29.0
2019-05-01 12:00:00,NW,0.1,19.4,Możliwe przelotne deszcze,16.9,318.0,18.0,9.0,41.0,31.0
2019-05-01 13:00:00,NW,0.0,20.0,Możliwe przelotne deszcze,17.5,316.0,17.7,9.3,40.0,24.0
2019-05-01 14:00:00,NW,0.0,20.6,Słoneczny,18.1,314.0,17.4,9.7,40.0,17.0
2019-05-01 15:00:00,NW,0.0,21.2,Słoneczny,18.7,312.0,17.1,10.0,39.0,10.0
2019-05-01 16:00:00,NW,0.0,21.1,Słoneczny,17.3,309.0,15.6,10.0,43.0,30.0
2019-05-01 17:00:00,NW,0.0,21.0,Zachmurzenie,15.8,306.0,14.1,10.0,48.0,50.0
2019-05-01 18:00:00,WNW,0.0,20.9,Zachmurzenie,14.4,303.0,12.6,10.0,52.0,69.0
2019-05-01 19:00:00,WNW,0.0,20.6,Zachmurzenie,14.0,300.0,12.3,10.0,53.0,62.0
2019-05-01 20:00:00,WNW,0.0,20.4,Częściowe zachmurzenie,13.7,297.0,12.1,10.0,55.0,54.0
2019-05-01 21:00:00,WNW,0.0,20.2,Częściowe zachmurzenie,13.3,294.0,11.8,10.0,56.0,46.0
2019-05-01 22:00:00,WNW,0.0,21.0,Częściowe zachmurzenie,14.4,290.0,10.9,10.0,64.0,63.0
2019-05-01 23:00:00,WNW,0.0,21.8,Pochmurno,15.5,286.0,10.1,10.0,73.0,80.0
2019-05-02 00:00:00,WNW,0.0,22.7,Pochmurno,16.6,283.0,9.2,10.0,82.0,97.0
2019-05-02 01:00:00,WNW,0.0,24.5,Pochmurno,18.2,281.0,9.7,10.0,81.0,85.0
2019-05-02 02:00:00,W,0.0,26.3,Częściowe zachmurzenie,19.9,279.0,10.2,10.0,80.0,73.0
2019-05-02 03:00:00,W,0.0,28.1,Częściowe zachmurzenie,21.6,278.0,10.7,10.0,79.0,62.0
2019-05-02 04:00:00,W,0.0,29.4,Częściowe zachmurzenie,23.0,275.0,10.5,10.0,77.0,74.0
2019-05-02 05:00:00,W,0.0,30.7,Pochmurno,24.5,272.0,10.2,10.0,75.0,87.0
2019-05-02 06:00:00,W,0.0,32.0,Pochmurno,25.9,270.0,10.0,10.0,73.0,100.0
2019-05-02 07:00:00,W,0.0,31.6,Pochmurno,25.7,270.0,9.8,10.0,73.0,99.0
2019-05-02 08:00:00,W,0.0,31.1,Pochmurno,25.4,270.0,9.5,10.0,73.0,99.0
2019-05-02 09:00:00,W,0.0,30.6,Pochmurno,25.2,270.0,9.3,10.0,73.0,98.0
2019-05-02 10:00:00,W,0.0,30.4,Pochmurno,25.3,270.0,9.4,10.0,72.0,93.0
2019-05-02 11:00:00,W,0.0,30.1,Zachmurzenie,25.4,270.0,9.5,10.0,71.0,87.0
2019-05-02 12:00:00,W,0.0,29.9,Zachmurzenie,25.6,269.0,9.6,10.0,70.0,82.0
2019-05-02 13:00:00,W,0.0,29.8,Zachmurzenie,25.4,270.0,10.2,10.0,69.0,85.0
2019-05-02 14:00:00,W,0.0,29.6,Pochmurno,25.3,271.0,10.7,10.0,68.0,88.0
2019-05-02 15:00:00,W,0.0,29.5,Pochmurno,25.2,271.0,11.3,10.0,68.0,92.0
2019-05-02 16:00:00,W,0.0,29.2,Pochmurno,24.0,270.0,10.8,10.0,69.0,76.0
2019-05-02 17:00:00,W,0.0,28.8,Częściowe zachmurzenie,22.8,270.0,10.3,10.0,71.0,61.0
2019-05-02 18:00:00,W,0.0,28.4,Częściowe zachmurzenie,21.6,269.0,9.8,10.0,73.0,46.0
2019-05-02 19:00:00,W,0.0,28.7,Częściowe zachmurzenie,20.9,266.0,9.2,10.0,77.0,36.0
2019-05-02 20:00:00,W,0.0,28.9,Słoneczny,20.2,263.0,8.7,10.0,80.0,26.0
2019-05-02 21:00:00,W,0.0,29.2,Bezchmurnie,19.4,260.0,8.1,10.0,84.0,15.0
