Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DATE
12:00 AM,54ʡF,50ʡF,88ʡ%,E,5ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
12:30 AM,54ʡF,48ʡF,82ʡ%,E,6ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
1:00 AM,50ʡF,48ʡF,94ʡ%,E,5ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
1:30 AM,50ʡF,46ʡF,87ʡ%,E,5ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
2:00 AM,52ʡF,48ʡF,88ʡ%,E,9ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
2:30 AM,52ʡF,46ʡF,82ʡ%,E,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
3:00 AM,50ʡF,46ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
3:30 AM,50ʡF,46ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
4:00 AM,50ʡF,46ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
4:30 AM,48ʡF,45ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
5:00 AM,48ʡF,45ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
5:30 AM,48ʡF,45ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
6:00 AM,48ʡF,45ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
6:30 AM,48ʡF,45ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
7:00 AM,48ʡF,45ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
7:30 AM,50ʡF,45ʡF,82ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
8:00 AM,50ʡF,46ʡF,87ʡ%,E,9ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
8:30 AM,52ʡF,46ʡF,82ʡ%,E,9ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
9:00 AM,54ʡF,48ʡF,82ʡ%,E,12ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
9:30 AM,55ʡF,48ʡF,77ʡ%,E,12ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
10:00 AM,57ʡF,48ʡF,72ʡ%,E,10ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-27
10:30 AM,61ʡF,48ʡF,63ʡ%,E,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
11:00 AM,61ʡF,48ʡF,63ʡ%,ESE,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
11:30 AM,63ʡF,48ʡF,59ʡ%,ESE,15ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
12:00 PM,63ʡF,50ʡF,63ʡ%,ESE,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
12:30 PM,63ʡF,48ʡF,59ʡ%,ESE,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
1:00 PM,64ʡF,46ʡF,52ʡ%,E,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
1:30 PM,66ʡF,48ʡF,52ʡ%,ESE,13ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
2:00 PM,64ʡF,46ʡF,52ʡ%,E,16ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
2:30 PM,64ʡF,46ʡF,52ʡ%,E,15ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
3:00 PM,66ʡF,46ʡF,49ʡ%,E,16ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
3:30 PM,64ʡF,46ʡF,52ʡ%,ESE,16ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
4:00 PM,64ʡF,46ʡF,52ʡ%,E,15ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
4:30 PM,64ʡF,46ʡF,52ʡ%,E,13ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
5:00 PM,64ʡF,48ʡF,56ʡ%,E,13ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
5:30 PM,63ʡF,48ʡF,59ʡ%,E,10ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
6:00 PM,61ʡF,48ʡF,63ʡ%,E,10ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
6:30 PM,61ʡF,48ʡF,63ʡ%,E,9ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
7:00 PM,59ʡF,48ʡF,67ʡ%,E,10ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
7:30 PM,57ʡF,48ʡF,72ʡ%,E,10ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2021-09-27
8:00 PM,57ʡF,48ʡF,72ʡ%,E,10ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
8:30 PM,55ʡF,48ʡF,77ʡ%,E,10ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
9:00 PM,55ʡF,48ʡF,77ʡ%,E,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
9:30 PM,54ʡF,46ʡF,77ʡ%,E,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
10:00 PM,54ʡF,46ʡF,77ʡ%,E,10ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
10:30 PM,52ʡF,46ʡF,82ʡ%,E,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
11:00 PM,52ʡF,46ʡF,82ʡ%,E,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
11:30 PM,52ʡF,45ʡF,76ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-27
12:00 AM,50ʡF,45ʡF,82ʡ%,E,10ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-28
12:30 AM,50ʡF,45ʡF,82ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-28
1:00 AM,48ʡF,45ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-28
1:30 AM,48ʡF,45ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-28
2:00 AM,48ʡF,45ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-28
2:30 AM,48ʡF,45ʡF,87ʡ%,E,6ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-28
3:00 AM,48ʡF,45ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-28
3:30 AM,46ʡF,43ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-28
4:00 AM,46ʡF,43ʡF,87ʡ%,E,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-28
4:30 AM,46ʡF,43ʡF,87ʡ%,E,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-28
5:00 AM,46ʡF,43ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-28
5:30 AM,45ʡF,43ʡF,93ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-28
6:00 AM,45ʡF,43ʡF,93ʡ%,E,7ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-28
6:30 AM,45ʡF,43ʡF,93ʡ%,E,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-28
7:00 AM,45ʡF,41ʡF,87ʡ%,ESE,6ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-28
7:30 AM,46ʡF,43ʡF,87ʡ%,E,6ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-28
8:00 AM,46ʡF,43ʡF,87ʡ%,E,7ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,2021-09-28
8:30 AM,48ʡF,43ʡF,82ʡ%,E,10ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,2021-09-28
9:00 AM,52ʡF,45ʡF,76ʡ%,ESE,8ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,2021-09-28
9:30 AM,52ʡF,45ʡF,76ʡ%,SE,12ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,2021-09-28
10:00 AM,54ʡF,45ʡF,72ʡ%,ESE,12ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,2021-09-28
10:30 AM,55ʡF,45ʡF,67ʡ%,ESE,13ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,2021-09-28
11:00 AM,57ʡF,45ʡF,63ʡ%,SE,13ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
11:30 AM,57ʡF,45ʡF,63ʡ%,ESE,13ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
12:00 PM,57ʡF,45ʡF,63ʡ%,ESE,12ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
12:30 PM,59ʡF,43ʡF,55ʡ%,ESE,13ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
1:00 PM,59ʡF,45ʡF,59ʡ%,ESE,13ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
1:30 PM,59ʡF,43ʡF,55ʡ%,SE,14ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
2:00 PM,59ʡF,43ʡF,55ʡ%,SE,12ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
2:30 PM,61ʡF,45ʡF,55ʡ%,ESE,14ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,2021-09-28
3:00 PM,61ʡF,45ʡF,55ʡ%,SE,13ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
3:30 PM,59ʡF,43ʡF,55ʡ%,SE,14ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
4:00 PM,59ʡF,43ʡF,55ʡ%,SE,14ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
4:30 PM,59ʡF,43ʡF,55ʡ%,ESE,13ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
5:00 PM,59ʡF,43ʡF,55ʡ%,ESE,13ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
5:30 PM,57ʡF,43ʡF,59ʡ%,ESE,14ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
6:00 PM,57ʡF,43ʡF,59ʡ%,ESE,10ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
6:30 PM,55ʡF,43ʡF,63ʡ%,ESE,9ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
7:00 PM,55ʡF,43ʡF,63ʡ%,E,9ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-28
7:30 PM,55ʡF,45ʡF,67ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-28
8:00 PM,54ʡF,45ʡF,72ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-28
8:30 PM,54ʡF,45ʡF,72ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-28
9:00 PM,52ʡF,43ʡF,71ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-28
9:30 PM,52ʡF,43ʡF,71ʡ%,E,9ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-28
10:00 PM,50ʡF,43ʡF,76ʡ%,E,9ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-28
10:30 PM,50ʡF,43ʡF,76ʡ%,E,10ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-28
11:00 PM,50ʡF,43ʡF,76ʡ%,ESE,9ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-28
11:30 PM,50ʡF,43ʡF,76ʡ%,ESE,9ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-28
12:00 AM,48ʡF,43ʡF,82ʡ%,ESE,10ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
12:30 AM,48ʡF,43ʡF,82ʡ%,ESE,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
1:00 AM,48ʡF,43ʡF,82ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
1:30 AM,46ʡF,43ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
2:00 AM,46ʡF,43ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
2:30 AM,46ʡF,43ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
3:00 AM,46ʡF,43ʡF,87ʡ%,E,9ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
3:30 AM,46ʡF,43ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
4:00 AM,46ʡF,43ʡF,87ʡ%,E,9ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
4:30 AM,46ʡF,43ʡF,87ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
5:00 AM,45ʡF,43ʡF,93ʡ%,E,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,2021-09-29
5:30 AM,45ʡF,43ʡF,93ʡ%,E,8ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
6:00 AM,45ʡF,43ʡF,93ʡ%,E,9ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
6:30 AM,45ʡF,43ʡF,93ʡ%,E,9ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
7:00 AM,45ʡF,43ʡF,93ʡ%,E,9ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
7:30 AM,46ʡF,43ʡF,87ʡ%,E,12ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
8:00 AM,46ʡF,43ʡF,87ʡ%,E,12ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
8:30 AM,48ʡF,45ʡF,87ʡ%,E,13ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
9:00 AM,50ʡF,45ʡF,82ʡ%,ESE,14ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
9:30 AM,52ʡF,45ʡF,76ʡ%,E,14ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
10:00 AM,54ʡF,46ʡF,77ʡ%,E,15ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
10:30 AM,55ʡF,45ʡF,67ʡ%,E,14ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,2021-09-29
11:00 AM,57ʡF,45ʡF,63ʡ%,ESE,16ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,2021-09-29
11:30 AM,57ʡF,46ʡF,67ʡ%,E,20ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,2021-09-29
12:00 PM,59ʡF,46ʡF,63ʡ%,ESE,18ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,2021-09-29
12:30 PM,61ʡF,45ʡF,55ʡ%,ESE,20ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Partly Cloudy,2021-09-29
1:00 PM,61ʡF,45ʡF,55ʡ%,ESE,22ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair / Windy,2021-09-29
1:30 PM,61ʡF,45ʡF,55ʡ%,ESE,22ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair / Windy,2021-09-29
2:00 PM,63ʡF,45ʡF,52ʡ%,SE,21ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair / Windy,2021-09-29
2:30 PM,61ʡF,43ʡF,52ʡ%,ESE,21ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair / Windy,2021-09-29
3:00 PM,61ʡF,45ʡF,55ʡ%,ESE,20ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2021-09-29
3:30 PM,61ʡF,45ʡF,55ʡ%,ESE,18ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2021-09-29
4:00 PM,61ʡF,45ʡF,55ʡ%,SE,17ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2021-09-29
4:30 PM,61ʡF,45ʡF,55ʡ%,SE,17ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2021-09-29
5:00 PM,61ʡF,45ʡF,55ʡ%,ESE,16ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2021-09-29
5:30 PM,61ʡF,45ʡF,55ʡ%,ESE,16ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2021-09-29
6:00 PM,59ʡF,45ʡF,59ʡ%,ESE,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2021-09-29
6:30 PM,59ʡF,45ʡF,59ʡ%,ESE,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2021-09-29
7:00 PM,57ʡF,45ʡF,63ʡ%,ESE,13ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Partly Cloudy,2021-09-29
7:30 PM,57ʡF,45ʡF,63ʡ%,ESE,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-29
8:00 PM,55ʡF,45ʡF,67ʡ%,ESE,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Partly Cloudy,2021-09-29
8:30 PM,55ʡF,45ʡF,67ʡ%,ESE,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2021-09-29
