,SEASONAL_NAIVE_MEAN_3_DAYS,SEASONAL_NAIVE_MEAN_7_DAYS,NAIVE_LAST,ACTUAL
2022-01-01 00:00:00,458.18666666666667,436.4057142857143,421.88,396.28
2022-01-01 01:00:00,400.30333333333334,426.45428571428573,421.88,70.0
2022-01-01 02:00:00,350.76,397.6442857142857,421.88,70.0
2022-01-01 03:00:00,367.46000000000004,398.81857142857143,421.88,150.0
2022-01-01 04:00:00,328.12,379.6871428571429,421.88,150.0
2022-01-01 05:00:00,335.07,385.4271428571428,421.88,190.0
2022-01-01 06:00:00,380.2166666666667,410.6971428571428,421.88,190.0
2022-01-01 07:00:00,410.92333333333323,447.0957142857143,421.88,190.0
2022-01-01 08:00:00,396.48333333333335,458.09714285714284,421.88,190.0
2022-01-01 09:00:00,524.5166666666667,545.7271428571428,421.88,150.0
2022-01-01 10:00:00,593.7066666666666,626.7328571428571,421.88,69.73
2022-01-01 11:00:00,617.2199999999999,665.3242857142857,421.88,90.2
2022-01-01 12:00:00,630.24,681.9328571428572,421.88,200.0
2022-01-01 13:00:00,669.4633333333333,686.58,421.88,422.39
2022-01-01 14:00:00,659.3033333333334,688.5,421.88,450.99
2022-01-01 15:00:00,681.1766666666666,676.5642857142858,421.88,426.57
2022-01-01 16:00:00,656.5666666666666,691.8214285714286,421.88,426.57
2022-01-01 17:00:00,592.5666666666667,666.68,421.88,463.03
2022-01-01 18:00:00,636.5600000000001,676.0871428571428,421.88,460.05
2022-01-01 19:00:00,546.9066666666666,605.1471428571429,421.88,439.6
2022-01-01 20:00:00,555.5666666666667,632.9385714285714,421.88,456.47
2022-01-01 21:00:00,594.1066666666667,645.4885714285714,421.88,463.03
2022-01-01 22:00:00,498.45666666666665,543.3757142857143,421.88,412.65
2022-01-01 23:00:00,510.7866666666667,539.1342857142857,421.88,421.98
2022-01-02 00:00:00,436.1166666666666,480.06285714285707,421.98,452.42
2022-01-02 01:00:00,261.99,373.6042857142857,421.98,426.08
2022-01-02 02:00:00,232.62333333333333,344.8514285714286,421.98,349.87
2022-01-02 03:00:00,275.98,357.55285714285714,421.98,190.0
2022-01-02 04:00:00,231.89666666666665,338.3257142857143,421.98,150.0
2022-01-02 05:00:00,244.92,349.7742857142857,421.98,78.0
2022-01-02 06:00:00,248.24666666666667,374.9857142857143,421.98,150.0
