Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DATE,DT
1:00 AM,46 ,45 ,93 ,SSW,8 ,0 ,29.27 ,0.0 ,Mostly Cloudy,2018-01-01,2018-01-01 01:00:00
2:00 AM,46 ,45 ,93 ,SSW,9 ,0 ,29.27 ,0.0 ,Mostly Cloudy,2018-01-01,2018-01-01 02:00:00
3:00 AM,48 ,45 ,87 ,SSW,8 ,0 ,29.27 ,0.0 ,Mostly Cloudy,2018-01-01,2018-01-01 03:00:00
4:00 AM,48 ,43 ,82 ,SW,10 ,0 ,29.24 ,0.0 ,Mostly Cloudy,2018-01-01,2018-01-01 04:00:00
5:00 AM,46 ,43 ,87 ,SSW,10 ,0 ,29.24 ,0.0 ,Fair,2018-01-01,2018-01-01 05:00:00
6:00 AM,46 ,41 ,81 ,SSW,8 ,0 ,29.24 ,0.0 ,Fair,2018-01-01,2018-01-01 06:00:00
7:00 AM,45 ,41 ,87 ,SSW,7 ,0 ,29.24 ,0.0 ,Fair,2018-01-01,2018-01-01 07:00:00
8:00 AM,45 ,41 ,87 ,S,8 ,0 ,29.22 ,0.0 ,Fair,2018-01-01,2018-01-01 08:00:00
9:00 AM,45 ,41 ,87 ,S,8 ,0 ,29.24 ,0.0 ,Fair,2018-01-01,2018-01-01 09:00:00
10:00 AM,45 ,39 ,81 ,S,10 ,0 ,29.24 ,0.0 ,Fair,2018-01-01,2018-01-01 10:00:00
11:00 AM,45 ,41 ,87 ,S,7 ,0 ,29.24 ,0.0 ,Fair,2018-01-01,2018-01-01 11:00:00
12:00 PM,48 ,41 ,76 ,SSW,10 ,0 ,29.24 ,0.0 ,Fair,2018-01-01,2018-01-01 12:00:00
1:00 PM,48 ,41 ,76 ,SSW,8 ,0 ,29.24 ,0.0 ,Fair,2018-01-01,2018-01-01 13:00:00
2:00 PM,50 ,41 ,71 ,SSW,8 ,0 ,29.24 ,0.0 ,Mostly Cloudy,2018-01-01,2018-01-01 14:00:00
3:00 PM,48 ,41 ,76 ,SSW,9 ,0 ,29.27 ,0.0 ,Mostly Cloudy,2018-01-01,2018-01-01 15:00:00
4:00 PM,48 ,41 ,76 ,SSW,8 ,0 ,29.27 ,0.0 ,Partly Cloudy,2018-01-01,2018-01-01 16:00:00
5:00 PM,46 ,41 ,81 ,SSW,6 ,0 ,29.27 ,0.0 ,Light Rain,2018-01-01,2018-01-01 17:00:00
6:00 PM,46 ,41 ,81 ,SSW,8 ,0 ,29.27 ,0.0 ,Mostly Cloudy,2018-01-01,2018-01-01 18:00:00
7:00 PM,45 ,39 ,81 ,SSW,9 ,0 ,29.27 ,0.0 ,Mostly Cloudy,2018-01-01,2018-01-01 19:00:00
