,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DATE
0,12:00 AM,63ʡF,59ʡF,88ʡ%,SSW,5ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair,2019-07-02
1,12:30 AM,63ʡF,59ʡF,88ʡ%,SSW,2ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair,2019-07-02
2,1:00 AM,63ʡF,57ʡF,82ʡ%,SW,3ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair,2019-07-02
3,1:30 AM,63ʡF,57ʡF,82ʡ%,SSW,5ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair,2019-07-02
4,2:00 AM,63ʡF,55ʡF,77ʡ%,SSW,3ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair,2019-07-02
5,2:30 AM,61ʡF,55ʡF,82ʡ%,SSW,3ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair,2019-07-02
6,3:00 AM,59ʡF,55ʡF,88ʡ%,S,3ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair,2019-07-02
7,3:30 AM,61ʡF,55ʡF,82ʡ%,VAR,2ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair,2019-07-02
8,4:00 AM,61ʡF,55ʡF,82ʡ%,WNW,7ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair,2019-07-02
9,4:30 AM,63ʡF,55ʡF,77ʡ%,NW,8ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair,2019-07-02
10,5:00 AM,64ʡF,54ʡF,68ʡ%,N,10ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair,2019-07-02
11,5:30 AM,64ʡF,54ʡF,68ʡ%,NNW,9ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair,2019-07-02
12,6:00 AM,63ʡF,54ʡF,72ʡ%,NW,7ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair,2019-07-02
13,6:30 AM,66ʡF,52ʡF,60ʡ%,NW,7ʡmph,0ʡmph,29.57ʡin,0.0ʡin,Fair,2019-07-02
14,7:00 AM,66ʡF,52ʡF,60ʡ%,NW,8ʡmph,0ʡmph,29.57ʡin,0.0ʡin,Fair,2019-07-02
